Time2,Time,Plot,TIMESTAMP,Solar.W.m.2,C
0,0,EDE,6/1/2022 0:00,0.269,N
0.25,0.01,EDE,6/1/2022 0:15,0.202,N
0.5,0.02,EDE,6/1/2022 0:30,0.269,N
0.75,0.03,EDE,6/1/2022 0:45,0.269,N
1,0.04,EDE,6/1/2022 1:00,0.202,N
1.25,0.05,EDE,6/1/2022 1:15,0.269,N
1.5,0.06,EDE,6/1/2022 1:30,0.202,N
1.75,0.07,EDE,6/1/2022 1:45,0.269,N
2,0.08,EDE,6/1/2022 2:00,0.202,N
2.25,0.09,EDE,6/1/2022 2:15,0.202,N
2.5,0.1,EDE,6/1/2022 2:30,0.269,N
2.75,0.11,EDE,6/1/2022 2:45,0.269,N
3,0.13,EDE,6/1/2022 3:00,0.269,N
3.25,0.14,EDE,6/1/2022 3:15,0.202,N
3.5,0.15,EDE,6/1/2022 3:30,0.269,N
3.75,0.16,EDE,6/1/2022 3:45,0.269,N
4,0.17,EDE,6/1/2022 4:00,0.202,N
4.25,0.18,EDE,6/1/2022 4:15,0.202,N
4.5,0.19,EDE,6/1/2022 4:30,0.269,N
4.75,0.2,EDE,6/1/2022 4:45,0.202,N
5,0.21,EDE,6/1/2022 5:00,0.202,N
5.25,0.22,EDE,6/1/2022 5:15,0.472,N
5.5,0.23,EDE,6/1/2022 5:30,1.213,N
5.75,0.24,EDE,6/1/2022 5:45,3.84,N
6,0.25,EDE,6/1/2022 6:00,11.52,N
6.25,0.26,EDE,6/1/2022 6:15,16.71,N
6.5,0.27,EDE,6/1/2022 6:30,40.76,N
6.75,0.28,EDE,6/1/2022 6:45,16.78,N
7,0.29,EDE,6/1/2022 7:00,27.01,N
7.25,0.3,EDE,6/1/2022 7:15,56.73,N
7.5,0.31,EDE,6/1/2022 7:30,71.61,N
7.75,0.32,EDE,6/1/2022 7:45,112.8,N
8,0.33,EDE,6/1/2022 8:00,197.9,N
8.25,0.34,EDE,6/1/2022 8:15,260.3,N
8.5,0.35,EDE,6/1/2022 8:30,485.5,N
8.75,0.36,EDE,6/1/2022 8:45,222.5,N
9,0.38,EDE,6/1/2022 9:00,261.9,N
9.25,0.39,EDE,6/1/2022 9:15,298.7,N
9.5,0.4,EDE,6/1/2022 9:30,713.4,N
9.75,0.41,EDE,6/1/2022 9:45,556.3,N
10,0.42,EDE,6/1/2022 10:00,574.1,N
10.25,0.43,EDE,6/1/2022 10:15,562.7,N
10.5,0.44,EDE,6/1/2022 10:30,598.7,N
10.75,0.45,EDE,6/1/2022 10:45,444.5,N
11,0.46,EDE,6/1/2022 11:00,660.8,N
11.25,0.47,EDE,6/1/2022 11:15,641,N
11.5,0.48,EDE,6/1/2022 11:30,921,N
11.75,0.49,EDE,6/1/2022 11:45,731.8,N
12,0.5,EDE,6/1/2022 12:00,569.4,N
12.25,0.51,EDE,6/1/2022 12:15,792.6,N
12.5,0.52,EDE,6/1/2022 12:30,992,N
12.75,0.53,EDE,6/1/2022 12:45,655.3,N
13,0.54,EDE,6/1/2022 13:00,624.2,N
13.25,0.55,EDE,6/1/2022 13:15,544.6,N
13.5,0.56,EDE,6/1/2022 13:30,561,N
13.75,0.57,EDE,6/1/2022 13:45,503.4,N
14,0.58,EDE,6/1/2022 14:00,608.6,N
14.25,0.59,EDE,6/1/2022 14:15,357.2,N
14.5,0.6,EDE,6/1/2022 14:30,292.6,N
14.75,0.61,EDE,6/1/2022 14:45,420.2,N
15,0.63,EDE,6/1/2022 15:00,411.3,N
15.25,0.64,EDE,6/1/2022 15:15,385.1,N
15.5,0.65,EDE,6/1/2022 15:30,386.3,N
15.75,0.66,EDE,6/1/2022 15:45,381.3,N
16,0.67,EDE,6/1/2022 16:00,385.3,N
16.25,0.68,EDE,6/1/2022 16:15,378,N
16.5,0.69,EDE,6/1/2022 16:30,317.8,N
16.75,0.7,EDE,6/1/2022 16:45,355,N
17,0.71,EDE,6/1/2022 17:00,335.6,N
17.25,0.72,EDE,6/1/2022 17:15,295.2,N
