,Season,Growing season,Month,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error,plot1frac,plot2frac,plot3frac,plot4frac,controlfrac
1,Cool,Y,May,5/13/2022,NA,NA,0.306311111,0.294644444,0.287088889,0.331081481,0.295488889,0.260644444,0.237977778,0.298637037,19.71417778,19.99888889,NA,NA,0.000335749,9.08E-05,0.000236925,0.000174128,0.000368605,0.000328995,0.000197814,0.000279052,1.011058461,0.934579645,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000368605,0.000328995,0.000197814,0.000279052,0.317133333,0.328644444,0.3362,0.363525925,#VALUE!
2,Cool,Y,May,5/14/2022,NA,NA,0.302555556,0.288541667,0.28596875,0.328024306,0.2891875,0.25596875,0.236296875,0.292604167,18.26132292,33.09947917,NA,NA,0.000270444,0.000283275,0.000197686,0.000189274,0.000346164,0.000219875,0.000206604,0.000273385,0.889946032,1.455153187,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000346164,0.000219875,0.000206604,0.000273385,0.315923612,0.321114584,0.335640625,0.363444445,#VALUE!
3,Cool,Y,May,5/15/2022,NA,NA,0.300347222,0.28084375,0.285609375,0.325541667,0.285274306,0.252229167,0.23590625,0.288458333,16.73448958,47.07239583,NA,NA,0.000268284,0.000238934,0.000189384,0.000190493,0.000346136,0.000226278,0.000204434,0.000205448,0.800060597,1.665197316,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000346136,0.000226278,0.000204434,0.000205448,0.315420138,0.309458333,0.3353125,0.362625001,#VALUE!
4,Cool,Y,May,5/16/2022,NA,NA,0.297923611,0.273239583,0.285072917,0.322899305,0.281451389,0.24784375,0.235114583,0.284017361,17.75322917,49.28541667,NA,NA,0.000224991,0.000237284,0.000179237,0.000163428,0.000300462,0.00017729,0.000179772,0.0002326,1.001681627,2.492733153,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000300462,0.00017729,0.000179772,0.0002326,0.314395833,0.298635416,0.335031251,0.361781249,#VALUE!
5,Cool,Y,May,5/17/2022,NA,NA,0.295409722,0.26640625,0.284796875,0.320409722,0.278409722,0.245385417,0.234817708,0.280201389,18.64153125,48.19135417,NA,NA,0.000231871,0.000191129,0.000197653,0.00016442,0.000304309,0.000153447,0.000207073,0.000207056,0.867195445,2.111315237,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000304309,0.000153447,0.000207073,0.000207056,0.312409722,0.287427083,0.334776042,0.360618055,#VALUE!
6,Cool,Y,May,5/18/2022,NA,NA,0.294802083,0.26221875,0.285640625,0.319607639,0.277972222,0.245010417,0.23571875,0.278982639,20.12708333,47.57510417,NA,NA,0.000254998,0.000133446,0.000204889,0.000165124,0.000351121,0.000209686,0.000213036,0.000191966,0.837797812,2.511047036,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000351121,0.000209686,0.000213036,0.000191966,0.311631944,0.279427083,0.3355625,0.360232639,#VALUE!
7,Cool,Y,May,5/19/2022,NA,NA,0.293055556,0.257104167,0.285338542,0.317822917,0.275131944,0.242864583,0.23478125,0.275100694,20.620875,35.2034375,NA,NA,0.000188979,0.000217884,0.000143861,0.000158879,0.000228643,0.000156455,0.000142582,0.00018713,1.002924033,2.13280501,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000228643,0.000156455,0.000142582,0.00018713,0.310979168,0.271343751,0.335895834,0.36054514,#VALUE!
8,Cool,Y,May,5/20/2022,NA,NA,0.298965278,0.25365625,0.281572917,0.330427083,0.282243056,0.238458333,0.2306875,0.297760417,2.67278125,93.93958333,NA,NA,0.000778636,0.000656918,0.000158284,0.00154456,0.000981921,0.000664731,0.000163106,0.003002085,0.217781718,0.714845983,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000981921,0.000664731,0.000163106,0.003002085,0.3156875,0.268854167,0.332458334,0.363093749,#VALUE!
9,Cool,Y,May,5/21/2022,NA,NA,0.331048611,0.3278125,0.277166667,0.371006944,0.335822917,0.327791667,0.228223958,0.3843125,6.492354167,72.19083333,NA,NA,0.001679316,0.004146001,7.86E-05,0.001636533,0.002851678,0.004086346,0.000162368,0.002097036,0.494831164,2.115850932,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.002851678,0.004086346,0.000162368,0.002097036,0.326274305,0.327833333,0.326109376,0.357701388,#VALUE!
10,Cool,Y,May,5/22/2022,NA,NA,0.342947917,0.36734375,0.275640625,0.389309028,0.355413194,0.353291667,0.22809375,0.398736111,10.14857292,64.91666667,NA,NA,0.000240072,0.000109653,0.000144471,0.00023654,0.00037696,0.000210428,0.000171473,0.000264534,0.695269197,2.310061862,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00037696,0.000210428,0.000171473,0.000264534,0.33048264,0.381395833,0.3231875,0.379881945,#VALUE!
