Obs#,Timepoint,Time,Date.a,Date,Shade,configName,configAuthor,remark,Position,Transect,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,9,9:06:35,7/25/2022,7/25/2022,y,JSG 2022,MS,,1,North,,0.143431,2.921928,0.13672,1.711029,1.667636,1.627401,2.705159,1.037524,19.125702,19.598551,31.791836,0.441786,PSF-00495_20220725090635,0,0,0,105.057121,387.195099,0.728671,0.5,0.8,30.022968,59.14,57.72,23,22.32,85.09,156.7,142.9,8.8,103,3.919,9:06:00,7/25/2022,0.13,-0.002,-0.003,-0.01,-0.033,-0.036,-0.157,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.512734,2.454663,1.659764,0.901093,0.295425,-0.007919,0.071208,0.194358,105.057121,0.000286,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725090635,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
2,9,9:07:27,7/25/2022,7/25/2022,y,JSG 2022,MS,,1,North,,0.090244,2.922343,0.087541,1.102379,1.723366,1.697468,2.76665,1.043285,19.948389,20.252733,32.513252,0.441786,PSF-00495_20220725090727,0,0,0,118.007896,403.164276,0.707296,0.5,0.8,31.189722,61.03,60.11,23.03,22.69,85.09,156.8,132.1,15.7,110,3.916,9:06:00,7/25/2022,0.13,-0.006,-0.003,0.014,0.487,1.214,2.921,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.516044,2.457102,1.660195,0.874991,0.29512,-0.004082,0.079795,0.200441,118.007896,0.000305,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725090727,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
3,9,9:08:33,7/25/2022,7/25/2022,y,JSG 2022,MS,,1,North,,0.118206,2.922884,0.113612,1.311817,1.70941,1.678599,2.666722,0.957312,19.725595,20.087666,31.337257,0.441786,PSF-00495_20220725090833,0,0,0,110.272766,400.532135,0.724684,0.5,0.8,34.158546,60.38,59.29,23.07,22.08,85.1,156.8,143.4,8.6,118,3.915,9:06:00,7/25/2022,0.13,0.002,0.001,-9999,-0.06,0.011,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.514906,2.456258,1.660759,0.902293,0.294639,-0.011282,0.090109,0.206826,110.272766,0.000298,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725090833,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
4,9,9:09:08,7/25/2022,7/25/2022,n,JSG 2022,MS,,2,North,,0.120675,2.921508,0.115888,2.09635,1.749481,1.700216,3.243595,1.494114,19.980736,20.559694,38.118347,0.441786,PSF-00495_20220725090908,0,0,0,152.562973,210.6185,0.275643,0.5,0.8,143.808365,61.6,59.87,23.12,25.33,85.09,156.7,138.2,11.8,1304,3.914,9:06:00,7/25/2022,0.13,0,0,0.001,-1.907,-4.35,-11.014,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.515687,2.457828,1.659327,0.8895,0.294019,0.02493,0.095443,1.204078,152.562973,0.000294,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725090908,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
5,9,9:10:52,7/25/2022,7/25/2022,n,JSG 2022,MS,,2,North,,0.173162,2.922717,0.163476,3.310923,1.858802,1.781175,3.527555,1.668753,20.933456,21.845776,41.457973,0.441786,PSF-00495_20220725091052,0,0,0,164.721603,200.381042,0.177958,0.5,0.8,109.403526,64.14,61.47,23.45,26.75,85.09,156.8,145,7.5,1537,3.911,9:06:00,7/25/2022,0.13,0.002,0.002,-9999,-4.057,-4.214,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.517816,2.461046,1.660586,0.906179,0.290121,0.03762,0.111021,1.399608,164.721603,0.000301,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091052,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
6,9,9:11:14,7/25/2022,7/25/2022,n,JSG 2022,MS,,2,North,,0.11181,2.921948,0.107689,2.028633,1.838421,1.790815,3.392127,1.553706,21.04538,21.604843,39.863762,0.441786,PSF-00495_20220725091114,0,0,0,162.992126,226.173874,0.27935,0.5,0.8,116.957565,63.13,61.5,23.53,26.09,85.09,156.7,144.7,7.7,1047,3.91,9:06:00,7/25/2022,0.13,-0.004,-0.003,-9999,10.027,2.869,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.517837,2.459718,1.659785,0.905291,0.289177,0.028935,0.114076,0.987553,162.992126,0.000302,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091114,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
7,9,9:11:51,7/25/2022,7/25/2022,n,JSG 2022,MS,,3,North,,0.181871,2.922526,0.171216,2.248271,1.928212,1.875535,3.013085,1.084874,22.042099,22.661182,35.411091,0.441786,PSF-00495_20220725091151,0,0,0,124.154449,288.751953,0.570031,0.5,0.8,253.290451,65.75,63.95,23.65,24.1,85.09,156.8,154.3,1.6,1111,3.91,9:06:00,7/25/2022,0.13,0.002,0.003,0.012,-0.635,-2.198,-8.589,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.521187,2.463068,1.660386,0.929352,0.287816,0.004747,0.119356,1.04149,124.154449,0.000311,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091151,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
8,9,9:12:12,7/25/2022,7/25/2022,n,JSG 2022,MS,,3,North,,0.190479,2.922087,0.178822,2.334601,1.978276,1.923588,3.056321,1.078045,22.606047,23.248739,35.917946,0.441786,PSF-00495_20220725091212,0,0,0,150.21228,418.752899,0.641287,0.5,0.8,346.451965,67.15,65.3,23.73,24.34,85.09,156.7,136.5,12.9,1351,3.909,9:06:00,7/25/2022,0.13,-0.003,-0.003,0.009,0.321,0.809,-2.202,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.523021,2.464866,1.659929,0.885386,0.286969,0.006607,0.122245,1.243006,150.21228,0.000307,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091212,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
9,9,9:12:50,7/25/2022,7/25/2022,n,JSG 2022,MS,,3,North,,0.139366,2.921568,0.133021,2.281022,2.040385,1.986969,3.452481,1.412096,23.350075,23.977806,40.572197,0.441786,PSF-00495_20220725091250,0,0,0,133.739944,194.595337,0.312728,0.5,0.8,181.160706,68.59,66.8,23.89,26.39,85.09,156.7,138,11.9,1448,3.908,9:06:00,7/25/2022,0.13,0,0.002,0.01,-4.233,-0.535,-3.964,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.525038,2.466681,1.659389,0.889004,0.285121,0.028362,0.127631,1.325055,133.739944,0.000301,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091250,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
10,9,9:14:13,7/25/2022,7/25/2022,n,JSG 2022,MS,,4,North,,0.118315,2.923488,0.113713,2.19601,1.942121,1.890705,3.53282,1.590699,22.215691,22.819824,41.51046,0.441786,PSF-00495_20220725091413,0,0,0,229.468353,293.86496,0.219137,0.5,0.8,9.308998,64.18,62.48,24.17,26.78,85.11,156.9,156.5,0.3,106,3.905,9:06:00,7/25/2022,0.13,0,0.002,-0.01,-1.511,-2.836,1.158,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.519043,2.460941,1.66139,0.934738,0.281904,0.029658,0.138899,0.197044,229.468353,0.000294,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220725091413,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
