Obs#,Timepoint,Time,Date.a,Date,Shade,configName,configAuthor,remark,Position,Transect,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,,9:11:19,8/22/2022,8/22/2022,y,JSG 2022,MS,,1,North,0.190581,2.922506,0.178914,2.18135,1.501043,1.449532,2.516718,1.015676,16.990499,17.59428,29.499392,0.441786,PSF-00495_20220822091119,0,0,0,116.158249,429.854034,0.729773,0.5,0.8,25.911572,57.3,55.33,21.79,21.14,85.31,156.8,156.8,0,89,3.893,9:05:52,8/22/2022,0.26,0.002,-0.003,0.009,0.052,1.041,1.818,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.509705,2.452343,1.660366,0.935566,0.310101,-0.007432,0.095351,0.182389,116.158249,0.000308,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091119,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
2,,9:11:38,8/22/2022,8/22/2022,y,JSG 2022,MS,,1,North,0.134952,2.923012,0.128997,1.477883,1.487238,1.452346,2.442186,0.954948,17.022886,17.431854,28.624765,0.441786,PSF-00495_20220822091138,0,0,0,109.136581,414.280762,0.736564,0.5,0.8,26.359156,56.69,55.36,21.81,20.65,85.32,156.9,155.8,0.7,89,3.893,9:05:52,8/22/2022,0.26,0,-0.001,-9999,0.374,1.081,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.509729,2.451532,1.660893,0.933052,0.309784,-0.013089,0.097826,0.182978,109.136581,0.000304,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091138,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
3,,9:12:07,8/22/2022,8/22/2022,y,JSG 2022,MS,,1,North,0.144456,2.922445,0.137652,1.947421,1.499555,1.453565,2.676999,1.177444,17.037621,17.576687,31.377823,0.441786,PSF-00495_20220822091207,0,0,0,110.37326,404.700623,0.727272,0.5,0.8,21.921104,57.02,55.27,21.85,22.14,85.32,156.8,156.8,0,75,3.891,9:05:52,8/22/2022,0.26,0.001,0,-9999,-0.077,0.306,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.509603,2.451963,1.660302,0.93551,0.309307,0.003048,0.101786,0.171116,110.37326,0.000307,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091207,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
4,,9:13:02,8/22/2022,8/22/2022,n,JSG 2022,MS,,2,North,0.074301,2.922043,0.072458,0.967119,1.495759,1.472913,2.607036,1.111277,17.265316,17.533121,30.559381,0.441786,PSF-00495_20220822091302,0,0,0,197.845459,394.011841,0.497869,0.5,0.8,22.358028,56.54,55.68,21.95,21.71,85.31,156.7,151.2,3.5,112,3.89,9:05:52,8/22/2022,0.26,0.002,0,-9999,-1.585,0.163,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.51015,2.451319,1.659883,0.921544,0.308118,-0.002855,0.109473,0.202144,197.845459,0.000309,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091302,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
5,,9:13:16,8/22/2022,8/22/2022,n,JSG 2022,MS,,2,North,0.205482,2.92212,0.191982,2.551464,1.477632,1.417349,2.584411,1.106779,16.614201,17.320837,30.294529,0.441786,PSF-00495_20220822091316,0,0,0,109.685181,415.067902,0.735742,0.5,0.8,70.155228,55.78,53.5,21.97,21.57,85.31,156.8,154.5,1.5,238,3.89,9:05:52,8/22/2022,0.26,-0.004,-0.003,-9999,0.137,1.613,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.507097,2.450313,1.659963,0.929675,0.307834,-0.004692,0.111261,0.308146,109.685181,0.000304,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091316,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
6,,9:13:36,8/22/2022,8/22/2022,n,JSG 2022,MS,,2,North,0.164673,2.920589,0.155884,2.886814,1.510506,1.442248,3.048038,1.537533,16.907207,17.707376,35.731586,0.441786,PSF-00495_20220822091336,0,0,0,299.328796,377.284882,0.206624,0.5,0.8,129.36438,56.86,54.29,22.02,24.29,85.3,156.6,156.5,0.1,1565,3.889,9:05:52,8/22/2022,0.26,0,-0.001,0.005,-5.016,1.91,-34.826,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.508191,2.45172,1.658372,0.934641,0.307267,0.025449,0.113965,1.423385,299.328796,0.000301,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091336,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
7,,9:14:00,8/22/2022,8/22/2022,n,JSG 2022,MS,,3,North,0.136844,2.923655,0.130725,2.587326,1.581569,1.520587,3.22252,1.640951,17.823996,18.538807,37.773682,0.441786,PSF-00495_20220822091400,0,0,0,131.852753,193.076843,0.317097,0.5,0.8,19.693853,59.28,57,22.09,25.22,85.31,156.9,156.9,0,155,3.888,9:05:52,8/22/2022,0.26,0,-0.003,-9999,-6.531,0.124,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.511957,2.454867,1.661565,0.935866,0.306411,0.035381,0.117136,0.238285,131.852753,0.000291,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091400,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
8,,9:14:34,8/22/2022,8/22/2022,n,JSG 2022,MS,,3,North,0.057917,2.922377,0.056791,1.147697,1.568787,1.541705,3.24422,1.675433,18.071478,18.388927,38.027927,0.441786,PSF-00495_20220822091434,0,0,0,272.959839,316.993469,0.13891,0.5,0.8,10.625124,58.32,57.31,22.22,25.34,85.31,156.8,156.8,0,191,3.887,9:05:52,8/22/2022,0.26,-0.002,0,0.004,0.96,-3.576,-10.298,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.512359,2.453579,1.660231,0.935626,0.304739,0.035138,0.121713,0.268507,272.959839,0.000306,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091434,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
9,,9:14:58,8/22/2022,8/22/2022,n,JSG 2022,MS,,3,North,0.149732,2.92387,0.142437,2.463039,1.669549,1.61157,3.103456,1.433907,18.890911,19.570553,36.378899,0.441786,PSF-00495_20220822091458,0,0,0,123.942017,191.186432,0.351722,0.5,0.8,184.754883,61.7,59.56,22.32,24.59,85.31,157,156.5,0.3,1313,3.888,9:05:52,8/22/2022,0.26,-0.003,-0.004,-0.005,-4.248,-2.505,10.76,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.515454,2.457954,1.661789,0.934866,0.30356,0.02547,0.124811,1.211574,123.942017,0.000296,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091458,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
10,,9:15:18,8/22/2022,8/22/2022,n,JSG 2022,MS,,4,North,0.105016,2.921767,0.101372,1.509031,1.576593,1.540972,2.813838,1.237245,18.063307,18.480862,32.983879,0.441786,PSF-00495_20220822091518,0,0,0,119.343636,384.076599,0.689271,0.5,0.8,21.130449,58.02,56.71,22.39,22.97,85.31,156.7,149.1,4.8,77,3.886,9:05:52,8/22/2022,0.26,0.001,0,-9999,-0.388,0.393,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.511485,2.453159,1.659597,0.91629,0.302733,0.006217,0.127324,0.172197,119.343636,0.000303,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220822091518,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
