Month,Plot,Transect,ID,Date,vcmax,jmax,vcmax.25,jmax.25,Rd,Asat,gs,KEEP
June,1,north,n1,6/13/2022,147.1047,285.006,192.20959,347.9261,15.14549,NA,NA,n
June,2,north,n2,6/13/2022,81.465132,204.358446,105.150063,246.75956,2.688327,20.48301,0.274762,y
June,3,north,n3,6/13/2022,93.225675,203.015446,122.288806,247.625982,2.317566,24.71451,0.4105358,y
June,4,north,n4,6/13/2022,72.67607,120.89018,93.712443,144.954053,1.40074,21.79409,0.3132418,y
June,1,central,c1,6/13/2022,72.190019,169.884762,95.736959,204.09957,2.732699,18.26316,0.3261677,y
June,2,central,c2,6/13/2022,71.469808,165.934803,93.671089,200.472273,2.279781,17.77758,0.2737761,y
June,3,central,c3,6/13/2022,75.387228,151.167536,95.093771,182.896297,1.411165,22.15122,0.4384724,y
June,4,central,c4,6/13/2022,92.11247,232.846779,121.351974,280.670951,2.498329,23.9781,0.3777041,y
June,1,north,n1,6/16/2022,58.16636,118.912817,77.204768,143.272107,1.285244,15.94276,0.2334028,y
June,2,north,n2,6/16/2022,73.912711,157.269501,96.944467,187.674545,1.597199,18.74259,0.247476,y
June,3,north,n3,6/16/2022,76.81727,163.65008,97.387961,197.062956,1.84653,21.79314,0.3252836,y
June,4,north,n4,6/16/2022,72.6810782,156.7016601,92.384317,189.595412,2.510542,21.07522,0.3383325,y
June,1,central,c1,6/16/2022,89.413544,208.491821,117.206488,252.933039,2.534952,19.42631,0.1925277,y
June,2,central,c2,6/16/2022,61.87334,151.72476,81.247789,183.270734,2.77765,14.95711,0.2577468,y
June,3,central,c3,6/16/2022,61.405941,142.008977,82.809644,170.549141,1.610465,15.50186,0.2187439,y
June,4,central,c4,6/16/2022,79.515446,192.019305,104.553055,233.094451,2.265126,18.13995,0.1859688,y
June,1,south,s1,6/16/2022,76.651262,179.235972,100.961721,216.761808,2.953837,19.0339,0.2878069,y
July,1,north,n1,7/19/2022,50.858897,96.286349,63.836484,115.822917,0.738359,14.66899,0.2231911,y
July,2,north,n2,7/19/2022,46.524299,101.973346,58.131977,122.872383,1.140591,12.31469,0.171381,y
July,3,north,n3,7/19/2022,49.3128904,82.7771394,61.91596,99.8852,0.8957135,13.81418,0.2292828,y
July,4,north,n4,7/19/2022,39.864349,83.788021,53.253638,100.476946,1.359014,10.17847,0.1811374,y
July,22,control,control,7/19/2022,34.656888,43.608783,42.793628,51.623286,1.407091,5.896557,0.05399672,y
July,22,control,control2,7/19/2022,46.015537,84.863077,59.92045,100.91974,2.740795,8.546238,0.09389343,y
July,3,central,c3,7/19/2022,42.559609,116.823468,58.17891,142.34985,1.618928,12.39192,0.21781504,y
July,1,central,c1,7/25/2022,49.027428,114.376059,65.051503,138.31732,2.619067,10.592719,0.1379405,y
July,2,central,c2,7/25/2022,47.145419,85.570176,59.390916,103.183158,1.394536,12.97448,0.2159626,y
July,3,central,c3,7/25/2022,46.271173,112.467988,62.955663,134.601596,1.944082,13.54871,0.2979664,y
July,4,central,c4,7/25/2022,47.681224,121.280491,63.569648  146.750183  ,,1.111098,13.81609,0.3426746,y
July,22,control,control,7/25/2022,50.708837,85.993468,65.241987,101.852776,1.029054,11.249523,0.11558472,y
July,1,south,s1,7/25/2022,39.869997,92.456411,53.090492,110.433685,1.086105,10.84176,0.1720119,y
July,2,south,s2,7/25/2022,48.792651,109.520296,64.253154,132.608448,1.863539,11.587061,0.17306787,y
