obs,time,elapsed,Plot,Transect,ID,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1658248496,0,1,north,n1,y,7/19/2022,20220719 10:34:55,10:34:55,15,1658248488,0.004829907,4.829907498,14.66898868,414.9546333,293.6412345,24.98345793,35.30499265,0.223191142,3.198408961,0.214885574,0.135023955,320.3571116,29.49017766,29.94370667,4.246693246,60.22371571,2.409145128,4.000326283,1.837548118,-212.9989207,-178.6534182,-12.34939739,-83.6446247,0,0,1,0,44664.79982,1800.011333,1531.287679,0.850710021,0.177975053,1.8,0.5,0: Broadleaf,2,1658248488,414.9546333,419.9568,28.31571,26.90770667,411.4276,27.95673,599.9745333,84.98166,0.09991232,28.90763,29.94370667,999.9,0,0,10002.99667,545.1943,1717.057,-5.002199333,427.0467667,431.5694333,1.407999,419.9568,26.90770667,2.406316,2.286661333,20.40632333,19.58274667,1800.011333,0.6429993,0.3570007,35,30063.59333,1658248461,10:34:20,1658248461,1658248461,1,2.462,0.133,3.528,0.314,420,27,0.33,0.07,0,0,0,0,0,0,0,0,0,0,0,3.2236,2.781,0.080068,0.0824103,0.111409,0.110004,22930,22673.3,23994.6,22036.7,31532.4,25051.9,39237,30541,2.08302,2.08098,0.0411496,0,29.273,999.9,82.5,31.2,44.2962,64.389,13.6298,2,0.71342,2.743,20.3346,5.22238,11.9501,4.9744,3.28015,6941.4,9999,9999,164.8,4.97176,1.86163,1.86712,1.85852,1.86275,1.86328,1.86404,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.527,0.3588,3.378435079,0.000678439,-9.11E-07,3.42E-10,-0.01205684,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.6,0.6,1.3562,2.39624,2.14966,2.71729,2.15088,2.38037,37.5781,16.1021,19,624.54,644.854,26.189,35.7538,30.0002,35.6777,35.6549,27.1692,39.3647,40.8386,26.2083,420,26.961,99.2098,100.146
2,1658248586,90.5,1,north,n1,n,7/19/2022,20220719 10:36:26,10:36:26,15,1658248582,0.002375026,2.375026131,5.590905312,297.9269375,200.6902329,17.07447608,25.34725431,0.103300838,3.198517933,0.101482565,0.063587302,320.3552995,30.16308528,30.0261875,4.266862494,58.53464506,2.353205111,4.020191988,1.913657383,-104.7386524,-178.1257361,-12.32276757,25.16814354,0,0,1,0,44654.17538,1800.001875,1531.279318,0.850709846,0.177974981,1.8,0.5,0: Broadleaf,2,1658248582,297.9269375,299.814625,27.6591375,26.96701875,294.7849375,27.32075625,600.591,84.98443125,0.094328388,28.99320625,30.0261875,999.9,0,0,10003.13125,544.795375,1755.26875,-1.887665713,306.401,308.1236875,0.692121412,299.814625,26.96701875,2.350596875,2.291776875,20.0237875,19.6185125,1800.001875,0.642999688,0.357000125,35,30063.4375,1658248578,10:36:18,1658248570,1658248578,2,-0.366,0.001,3.143,0.312,300,27,0.49,0.11,0,0,0,0,0,0,0,0,0,0,0,3.22165,2.77692,0.0611731,0.063134,0.111644,0.110524,23394,23140.5,23988.4,22029,31516.3,25028,39227.7,30530,2.07527,2.0753,0.0471659,0,29.2673,999.9,80.7,31.4,43.8281,64.169,13.5216,2,0.72781,3.26245,20.3237,5.22373,11.9501,4.97445,3.28013,6943.8,9999,9999,164.8,4.97175,1.86159,1.86716,1.85852,1.86278,1.86329,1.86409,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.142,0.363,3.012601606,0.000678439,-9.11E-07,3.42E-10,-0.011150402,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,0.1,1.03394,2.38647,2.14966,2.71606,2.15088,2.38281,37.7228,16.0934,19,619.848,641.526,26.0333,35.8665,30.0012,35.8217,35.8112,20.7419,38.2149,34.8373,26.0065,300,26.928,99.1855,100.11
3,1658248677,181,1,north,n1,y,7/19/2022,20220719 10:37:56,10:37:56,15,1658248669,0.005372609,5.372608863,5.760422634,197.9287667,153.051518,13.0227162,16.84119302,0.247770969,3.198731124,0.237581197,0.149368839,320.3555113,29.46688602,30.03599333,4.269265883,60.1418151,2.420767472,4.02509879,1.848498411,-236.9320509,-176.1933069,-12.19013537,-104.9599818,0,0,1,0,44654.97728,1800.003,1531.28045,0.850709943,0.177974987,1.8,0.5,0: Broadleaf,2,1658248669,197.9287667,199.9759333,28.45045,26.88450667,195.2577667,28.08611,599.9936333,84.98720667,0.09993507,29.01428667,30.03599333,999.9,0,0,10003.706,544.5268333,1802.085,-1.605293,204.1796,205.5007333,1.565946333,199.9759333,26.88450667,2.417924333,2.284839333,20.48432667,19.56987667,1800.003,0.642999967,0.356999967,35.45971667,30063.45,1658248696,10:38:15,1658248696,1658248578,3,-0.442,0.001,2.671,0.312,200,27,0.51,0.11,0,0,0,0,0,0,0,0,0,0,0,3.22339,2.78123,0.0431737,0.0447016,0.1116,0.109693,23834.4,23586.2,23981.8,22021.5,31510,25042.6,39217.9,30519.4,2.0797,2.07145,0.0445694,0,29.297,999.9,78.9,31.6,43.3362,64.2891,13.8301,2,0.747099,3.97814,20.3066,5.22373,11.9501,4.9756,3.28078,6946.1,9999,9999,164.8,4.97176,1.86161,1.86718,1.85852,1.86274,1.8633,1.86408,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.671,0.3629,3.012601606,0.000678439,-9.11E-07,3.42E-10,-0.011150402,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.8,1.6,0.749512,2.40356,2.14966,2.71484,2.15088,2.39624,37.8921,16.0758,19,624.836,639.812,25.4053,36.0498,30.001,35.9809,35.9702,15.0508,37.6607,27.0275,25.3944,200,26.8337,99.1598,100.076
4,1658248787,291,1,north,n1,y,7/19/2022,20220719 10:39:46,10:39:46,15,1658248779,0.005756368,5.756367651,1.538461457,99.34011613,86.34652824,7.347319548,8.452958006,0.265299916,3.196234403,0.253645122,0.159532669,320.355156,29.39393343,30.03140323,4.268140711,59.88051725,2.412846026,4.029434175,1.855294685,-253.8558134,-172.0585836,-11.91419507,-117.4734361,0,0,1,0,44607.11546,1799.999677,1531.277856,0.850710073,0.177975119,1.8,0.5,0: Broadleaf,2,1658248779,99.34011613,99.97320968,28.35603871,26.6780871,97.04611613,27.99484839,599.9965484,84.99104516,0.100037226,29.03289355,30.03140323,999.9,0,0,9992.699032,543.4477419,1852.653871,-0.299063355,102.583,102.7134516,1.677963871,99.97320968,26.6780871,2.410009677,2.267396452,20.43119032,19.44663226,1799.999677,0.642998516,0.357001516,36,30063.35484,1658248802,10:40:01,1658248802,1658248578,4,-0.334,0.001,2.294,0.312,100,27,0.29,0.11,0,0,0,0,0,0,0,0,0,0,0,3.22327,2.78154,0.0225625,0.0235465,0.111312,0.109348,24336.8,24095.9,23973.2,22012.1,31509.6,25041.2,39204.7,30506,2.07655,2.06508,0.0393763,0,29.3702,999.9,76,31.8,42.2201,64.299,13.9183,2,0.769614,4.52528,20.291,5.22583,11.9501,4.97415,3.28068,6949.1,9999,9999,164.9,4.97174,1.86169,1.86718,1.85852,1.86274,1.86335,1.86409,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.294,0.36,2.570460617,0.000678439,-9.11E-07,3.42E-10,-0.011150402,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.5,3.5,0.450439,2.43042,2.14966,2.71362,2.15088,2.38403,38.1106,16.0583,19,624.535,636.586,24.991,36.3105,30.0011,36.2088,36.1958,9.07504,36.6262,19.6054,24.9737,100,26.7552,99.1256,100.032
5,1658248893,397,1,north,n1,y,7/19/2022,20220719 10:41:32,10:41:32,15,1658248885,0.005582293,5.582293228,-0.805011721,50.14900968,53.49459782,4.552060155,4.26737125,0.256015379,3.195158023,0.245140599,0.154151436,320.3536186,29.48643024,30.08683871,4.281746904,59.88997384,2.42031609,4.041270909,1.861430814,-246.1791314,-172.8141396,-11.9768463,-110.6164987,0,0,1,0,44580.20487,1799.992581,1531.271664,0.850709986,0.177974966,1.8,0.5,0: Broadleaf,2,1658248885,50.14900968,49.99148387,28.44290968,26.81579032,47.93200968,28.07880968,599.9762581,84.99383871,0.099990213,29.08360645,30.08683871,999.9,0,0,9987.820968,542.0892258,1890.013548,0.207255355,51.66834194,51.3689871,1.627117419,49.99148387,26.81579032,2.417471935,2.279176774,20.48128065,19.52997097,1799.992581,0.643000452,0.356999548,37,30063.29032,1658248911,10:41:51,1658248911,1658248578,5,-0.049,0.001,2.217,0.312,50,27,0.19,0.11,0,0,0,0,0,0,0,0,0,0,0,3.22285,2.78136,0.0113331,0.0119924,0.111614,0.10949,24602.2,24367.2,23961.5,22001.5,31485.2,25025.1,39187,30491,2.07277,2.05813,0.0415668,0,29.4176,999.9,73.8,32.1,41.6976,64.589,14.0825,2,0.79872,5.08471,20.2713,5.22777,11.9501,4.97515,3.2806,6951.9,9999,9999,164.9,4.97176,1.86166,1.86719,1.85852,1.86276,1.86336,1.86409,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.217,0.3646,2.236280138,0.000678439,-9.11E-07,3.42E-10,-0.011150402,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.5,5.2,0.299072,2.44995,2.14966,2.71362,2.15088,2.39136,38.3301,16.0408,19,624.155,633.307,25.0397,36.6303,30.0034,36.4813,36.4659,6.03501,36.0499,12.6935,24.9724,50,26.7088,99.0795,99.9834
6,1658249002,506.5,1,north,n1,y,7/19/2022,20220719 10:43:22,10:43:22,15,1658248994,0.005774988,5.77498765,-3.170291162,1.875399032,21.12109605,1.797045223,0.159564488,0.268312126,3.197363891,0.256401569,0.161277034,320.3539464,29.42540069,30.05944516,4.275018661,60.28544008,2.43423399,4.03784726,1.840784671,-254.6769554,-170.7375953,-11.82230282,-116.8829071,0,0,1,0,44622.09757,1799.994839,1531.273555,0.85070997,0.177974925,1.8,0.5,0: Broadleaf,2,1658248994,1.875399032,0.927030484,28.61012581,26.92625484,-0.339872484,28.2496871,599.6644839,84.98469355,0.098259484,29.06895161,30.05944516,999.9,0,0,9998.220968,540.8572903,1919.474839,0.948368161,1.930634194,0.952684194,1.683873871,0.927030484,26.92625484,2.431422581,2.288318065,20.57456774,19.59419677,1799.994839,0.643001,0.356999,37.97849355,30063.33548,1658248981,10:43:00,1658248978,1658248981,6,0.028,-0.01,2.215,0.304,1,27,0.21,0.08,0,0,0,0,0,0,0,0,0,0,0,3.22252,2.78119,-8.63E-05,0.000226777,0.111645,0.109449,24864.3,24636.6,23943,21985.4,31461.8,25007.5,39158.4,30467.7,2.0673,2.04883,0.0344142,0,29.4934,999.9,72,32.4,41.3821,64.569,14.1226,2,0.841207,5.62964,20.2515,5.22328,11.9501,4.9753,3.2805,6954.4,9999,9999,164.9,4.97182,1.86172,1.86722,1.85858,1.86279,1.86339,1.86413,1.86026,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.215,0.3567,2.215501702,0.000678439,-9.11E-07,3.42E-10,-0.020718217,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.4,0.032959,4.99878,2.14966,2.71118,2.15088,2.40845,38.5995,16.0146,19,623.36,628.925,24.4049,37.0552,30.002,36.8535,36.8291,0,35.3182,7.25315,24.3741,0,26.8785,99.0057,99.9084
7,1658249093,597,1,north,n1,n,7/19/2022,20220719 10:44:52,10:44:52,15,1658249085,0.005564599,5.564599318,12.11328628,415.8861,324.5049664,27.60803591,35.38250435,0.257642495,3.198253311,0.246642408,0.155100681,320.3529091,29.47517961,30.04708,4.271984622,60.13516452,2.428100799,4.037738681,1.843883823,-245.3988299,-168.7332044,-11.67952092,-105.4586462,0,0,1,0,44638.10767,1799.988,1531.267669,0.850709932,0.177975025,1.8,0.5,0: Broadleaf,2,1658249085,415.8861,420.2144667,28.53990667,26.91813,412.5791,28.18182333,599.9849,84.97745333,0.099937677,29.06848667,30.04708,999.9,0,0,10002.83367,540.0527333,1947.030333,-5.271158,427.1336667,431.8389333,1.621787333,420.2144667,26.91813,2.425248667,2.287432333,20.53334,19.58816667,1799.988,0.642999367,0.357000533,38,30063.18667,1658249113,10:45:13,1658249113,1658248981,7,0.943,-0.01,3.307,0.304,421,27,0.35,0.08,0,0,0,0,0,0,0,0,0,0,0,3.22193,2.78109,0.0799323,0.0821222,0.111745,0.109911,22868.7,22612.1,23932.8,21975.2,31448.3,24985.9,39142.5,30454.5,2.06393,2.045,0.0282302,0,29.5982,999.9,71,32.7,41.5038,64.509,14.2388,2,0.867965,6.03468,20.2365,5.22822,11.9501,4.9751,3.28025,6957,9999,9999,165,4.97173,1.86169,1.86722,1.85854,1.86279,1.8634,1.86414,1.86023,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.307,0.359,2.215501702,0.000678439,-9.11E-07,3.42E-10,-0.020718217,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.9,1.9,1.37085,2.41089,2.14966,2.71118,2.15088,2.3938,38.8211,15.997,19,623.337,628.345,24.1073,37.3784,30.0016,37.1341,37.1022,27.4702,35.603,0.979758,24.0836,420,26.808,98.9646,99.8639
8,1658249204,708.5,1,north,n1,y,7/19/2022,20220719 10:46:44,10:46:44,15,1658249196,0.005132808,5.132808221,18.89736229,643.3451667,491.3031529,41.79533744,54.72960671,0.237597198,3.198088632,0.228208201,0.143442775,320.3534441,29.57040289,30.02025,4.265407799,60.14333183,2.427289408,4.035841272,1.838118391,-226.3568425,-165.4997745,-11.45431,-82.95748293,0,0,1,0,44636.24522,1799.991333,1531.270622,0.850709997,0.177974993,1.8,0.5,0: Broadleaf,2,1658249196,643.3451667,650.0071333,28.53272667,27.03634667,639.4777667,28.18214333,599.8101667,84.97359333,0.096769433,29.06036,30.02025,999.9,0,0,10002.59167,539.4612333,1971.286333,-6.661885667,662.2407333,668.0693333,1.496381667,650.0071333,27.03634667,2.424528333,2.297375333,20.52839667,19.65795,1799.991333,0.6430001,0.3569999,39,30063.24,1658249185,10:46:25,1658249182,1658249185,8,0.559,-0.008,3.867,0.297,650,27,0.61,0.07,0,0,0,0,0,0,0,0,0,0,0,3.22156,2.78146,0.110004,0.112767,0.111663,0.10997,22107,21843.8,23918.6,21962.6,31436,24970.7,39121.5,30436.4,2.0585,2.03725,0.0192784,0,29.73,999.9,70,33,41.6203,64.529,14.2668,2,0.909721,7.21097,20.1863,5.22732,11.9501,4.97525,3.28033,6959.5,9999,9999,165,4.97171,1.86164,1.86722,1.85855,1.86273,1.86332,1.86405,1.86025,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.868,0.3516,3.716926275,0.000678439,-9.11E-07,3.42E-10,-0.028242913,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.4,0.3,1.94092,2.41455,2.14966,2.70996,2.15088,2.41699,39.0931,15.962,19,622.423,625.129,23.2274,37.7866,30.0018,37.4947,37.4523,38.8764,35.9336,0,23.1921,650,26.8579,98.9093,99.8054
9,1658249295,799,1,north,n1,n,7/19/2022,20220719 10:48:14,10:48:14,15,1658249287,0.004045152,4.045151694,19.83903416,792.9163,589.3733965,50.14198741,67.45876106,0.182755961,3.196184295,0.17714273,0.111204171,320.3525188,29.83964349,30.06948333,4.277483108,59.71207628,2.411076633,4.037837542,1.866406474,-178.3911897,-172.4114803,-11.94320534,-42.3933566,0,0,1,0,44600.68023,1799.986667,1531.266474,0.850709898,0.17797494,1.8,0.5,0: Broadleaf,2,1658249287,792.9163,799.8289,28.34001,27.16108667,788.8046333,28.00128,600.1172,84.98123,0.095544257,29.06891,30.06948333,999.9,0,0,9993.641333,538.399,1999.761333,-6.912612667,816.0421667,822.1596333,1.178922767,799.8289,27.16108667,2.408368333,2.308181667,20.41847,19.73339667,1799.986667,0.6430005,0.3569994,39,30063.19,1658249278,10:47:57,1658249278,1658249277,9,0.259,-0.006,4.111,0.292,800,27,0.53,0.08,0,0,0,0,0,0,0,0,0,0,0,3.2211,2.78119,0.126848,0.129836,0.111514,0.109995,21676.1,21410.5,23906.3,21950.3,31427.3,24957.2,39102.6,30419.7,2.05408,2.03108,0.0130832,0,29.8678,999.9,69.2,33.3,41.836,64.559,14.399,2,0.943011,7.78975,20.156,5.22463,11.9514,4.97495,3.28013,6961.9,9999,9999,165,4.97171,1.8617,1.86722,1.85858,1.86278,1.86338,1.86413,1.86029,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.111,0.3449,3.975828907,0.000678439,-9.11E-07,3.42E-10,-0.033968987,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,0.3,2.29126,2.40723,2.14966,2.70874,2.15088,2.41211,39.292,15.9182,19,621.798,622.79,23.3865,38.1565,30.0053,37.8039,37.7558,45.8627,35.8117,0,23.247,800,26.9663,98.8605,99.7502
10,1658249385,889.5,1,north,n1,y,7/19/2022,20220719 10:49:45,10:49:45,15,1658249377,0.004187193,4.187192978,24.53828442,991.3192667,748.1578527,63.65660318,84.34585958,0.190671435,3.19821738,0.184573919,0.115890293,320.3531933,29.77448832,30.04127,4.270559671,59.94551244,2.416204247,4.030667432,1.854355424,-184.6552103,-172.9545055,-11.96970737,-49.22622991,0,0,1,0,44642.12947,1799.99,1531.269529,0.85071002,0.177974985,1.8,0.5,0: Broadleaf,2,1658249377,991.3192667,999.9313,28.39771667,27.17648,986.9956,28.06495667,599.6311333,84.98646,0.097995043,29.03818333,30.04127,999.9,0,0,10001.62167,537.6564333,1972.211667,-8.612099667,1020.293667,1027.866,1.221242333,999.9313,27.17648,2.413421667,2.309632333,20.45411333,19.74372333,1799.99,0.6430003,0.356999733,39.93888667,30063.23333,1658249364,10:49:24,1658249364,1658249359,10,0.237,-0.008,4.323,0.289,1000,27,0.23,0.06,0,0,0,0,0,0,0,0,0,0,0,3.22064,2.78136,0.146981,0.150175,0.111095,0.110224,21160.4,20895.9,23890.6,21937.3,31424.1,24936.5,39078.5,30401.1,2.04997,2.02443,0.00568479,0,29.9745,999.9,68.5,33.5,41.8813,64.5789,14.4631,2,0.978915,8.06989,20.1427,5.22717,11.9548,4.9754,3.28005,6964.3,9999,9999,165,4.9717,1.86171,1.86721,1.85865,1.86278,1.86338,1.86413,1.86026,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.324,0.3325,4.212931056,0.000678439,-9.11E-07,3.42E-10,-0.041998303,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.3,0.4,2.73315,2.40723,2.14966,2.70874,2.15088,2.39868,39.5166,15.9007,19,621.784,620.379,23.1078,38.5611,30.0042,38.1536,38.0959,54.6954,35.8965,0,23.0146,1000,27.0888,98.798,99.6898
