obs,time,elapsed,Plot,Transect,ID,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1655394271,0,1,north,n1,y,6/16/2022,20220616 09:44:31,09:44:31,15,1655394263,0.002812511,2.812511434,12.67628052,415.3994333,241.9228073,20.64361729,35.44662458,0.127816834,3.205047915,0.125051093,0.078400439,320.3549545,29.75741336,29.86487,4.227492831,60.30310752,2.382646451,3.951117196,1.84484638,-124.0317542,-202.3077757,-13.93531481,-19.9198903,0,0,1,0,44822.13571,1800,1531.277654,0.850709808,0.177974975,2,0.5,0: Broadleaf,2,1655394263,415.3994333,420.0143667,27.92226333,27.01092333,411.9697667,27.63329,599.9911667,85.23144,0.09998256,28.69404333,29.86487,999.9,0,0,10001.68033,559.1181333,101.0890333,-4.614949333,427.3315667,431.6743333,0.911342033,420.0143667,27.01092333,2.379854333,2.302179333,20.22734333,19.69164333,1800,0.642999633,0.357000133,28,30063.42333,1655394239,09:43:59,1655394239,1655394229,4,0.09,0,3.43,0.259,420,27,0.37,0.12,0,0,0,0,0,0,0,0,0,0,0,3.23322,2.781,0.0820979,0.0844206,0.112919,0.112677,23257.6,22916.6,24358.7,22295.9,31915.6,25241.4,39807.9,30880.4,2.19648,2.27985,0.139266,0,27.5966,999.9,70.5,26.9,29.4323,63.5557,13.8421,2,-0.00202236,-1.73267,20.3572,5.22807,11.9384,4.97835,3.28133,1940.3,8889,9999,115.6,4.97171,1.86153,1.86697,1.85822,1.86264,1.86323,1.86407,1.8599,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.43,0.2882,3.281019171,0.000678439,-9.11497E-07,3.42204E-10,-0.071031229,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.5,0.7,1.37451,2.37671,2.14966,2.73926,2.15088,2.3877,31.6955,15.962,19,624.175,722.875,29.9998,27.1993,29.9995,27.1958,27.1661,27.5346,8.55753,100,30,420,26.8607,100.677,101.286
2,1655394362,90.5,1,north,n1,y,6/16/2022,20220616 09:46:01,09:46:01,15,1655394354,0.002451627,2.451626622,7.484204508,297.1895484,178.0690526,15.19463519,25.35918907,0.110120553,3.203779551,0.108060184,0.06771952,320.3552522,29.84599866,29.8473,4.223224039,59.77357023,2.361991835,3.951565594,1.861232204,-108.1167341,-198.8550264,-13.70184281,-0.318351053,0,0,1,0,44798.85367,1800.001613,1531.279358,0.850709992,0.177974981,2,0.5,0: Broadleaf,2,1655394354,297.1895484,299.9262903,27.68066774,26.88632903,294.338129,27.4001129,600.1882903,85.23176129,0.098255213,28.696,29.8473,999.9,0,0,9996.292258,559.1386774,103.3606452,-2.736810006,305.649871,308.2129677,0.794337435,299.9262903,26.88632903,2.359270968,2.291569032,20.0859129,19.61724516,1800.001613,0.643000258,0.356999742,28,30063.44194,1655394345,09:45:45,1655394343,1655394345,5,-0.559,-0.001,2.852,0.253,300,27,0.23,0.11,0,0,0,0,0,0,0,0,0,0,0,3.23356,2.78139,0.0628941,0.0648281,0.112924,0.112605,23748,23409.3,24362.2,22297.8,31919.3,25245.2,39813.7,30883.2,2.19708,2.27938,0.137258,0,27.6282,999.9,70.1,26.9,29.2675,63.7357,13.8221,2,-0.0104776,-1.73405,20.3577,5.23167,11.9381,4.9793,3.282,1942.5,8893.7,9999,115.7,4.97168,1.86154,1.86699,1.85822,1.86265,1.86325,1.86407,1.85993,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.851,0.2872,2.721963606,0.000678439,-9.11497E-07,3.42204E-10,-0.071670217,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.3,1.04736,2.38159,2.14966,2.73804,2.15088,2.36084,31.7392,15.962,19,623.367,720.936,30.0005,27.0872,29.9998,27.0827,27.0553,21.0117,8.25652,100,30,300,26.8025,100.691,101.295
3,1655394452,181,1,north,n1,y,6/16/2022,20220616 09:47:32,09:47:32,15,1655394444,0.002505498,2.50549779,4.218781461,198.3656,131.2100442,11.19572543,16.92589012,0.11218558,3.204942629,0.110048781,0.068969081,320.3551313,29.84006383,29.84138,4.221786568,59.54588723,2.353995261,3.953245759,1.867791307,-110.4924526,-196.6378179,-13.54424566,-0.319384798,0,0,1,0,44818.78403,1800.000333,1531.278312,0.850710016,0.17797504,2,0.5,0: Broadleaf,2,1655394444,198.3656,199.9370667,27.58801333,26.77612667,195.8566333,27.31080667,600.1764,85.22851,0.098230737,28.70333,29.84138,999.9,0,0,10001.58,559.1812,103.7753,-1.571519919,203.993,205.4379667,0.811887729,199.9370667,26.77612667,2.351285333,2.282089667,20.03029,19.5505,1800.000333,0.642999467,0.357000533,28,30063.38333,1655394437,09:47:17,1655394435,1655394437,6,-0.313,0,2.51,0.249,200,27,0.23,0.08,0,0,0,0,0,0,0,0,0,0,0,3.23376,2.78129,0.0444597,0.0459962,0.113016,0.112323,24217.3,23881.4,24364.2,22298.3,31918,25252.6,39817.1,30883.1,2.19817,2.2793,0.134207,0,27.6635,999.9,69.9,27,29.3524,63.3957,13.8421,2,-0.0168623,-1.71887,20.3581,5.23002,11.9381,4.9792,3.28198,1945.1,8899,9999,115.7,4.9717,1.8615,1.86696,1.85822,1.86264,1.86325,1.86403,1.85993,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.509,0.2877,2.4085,0.000678439,-9.11497E-07,3.42204E-10,-0.072086316,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.2,0.759277,2.39258,2.14966,2.73804,2.15088,2.36206,31.7173,15.9533,19,623.193,719.628,30.0001,27.0078,29.9998,26.9926,26.9638,15.2275,8.70506,100,30,200,26.6858,100.7,101.296
4,1655394543,271.5,1,north,n1,y,6/16/2022,20220616 09:49:02,09:49:02,15,1655394535,0.002825324,2.825323553,1.072067196,99.47950333,82.31035226,7.022898073,8.487807343,0.12615414,3.204405483,0.123458541,0.07739898,320.3550847,29.80042829,29.88437333,4.232235747,59.44568296,2.355029329,3.961649042,1.877206418,-124.5967687,-197.7058926,-13.62547864,-15.5730552,0,0,1,0,44803.50793,1799.999667,1531.277774,0.850710032,0.17797508,2,0.5,0: Broadleaf,2,1655394535,99.47950333,99.93041333,27.60161,26.6861,97.25245,27.32712333,600.1769667,85.22391333,0.098259157,28.73995,29.88437333,999.9,0,0,9999.853333,559.2810333,106.2816333,-0.450910525,102.3031667,102.6703333,0.915509083,99.93041333,26.6861,2.352317667,2.274294333,20.03700667,19.49544333,1799.999667,0.642998933,0.357001067,28,30063.38,1655394528,09:48:47,1655394525,1655394528,7,-0.239,-0.004,2.227,0.243,100,27,0.27,0.1,0,0,0,0,0,0,0,0,0,0,0,3.2337,2.78129,0.0233152,0.0243216,0.113149,0.112082,24755.7,24425.7,24366.5,22299.7,31915.5,25259.9,39820.9,30884.3,2.19907,2.2797,0.133283,0,27.7268,999.9,69.6,27,29.2313,63.4857,13.9543,2,-0.0213465,-1.71764,20.3579,5.23047,11.9381,4.97765,3.282,1947.4,8904,9999,115.7,4.97167,1.86155,1.86697,1.85822,1.86264,1.86325,1.86405,1.85993,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.227,0.2854,2.16937798,0.000678439,-9.11497E-07,3.42204E-10,-0.075700419,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.2,0.454102,2.41699,2.14966,2.73804,2.15088,2.34985,31.8488,15.9445,19,623.041,718.964,30.0004,26.9483,29.9999,26.9183,26.8874,9.14512,8.80014,100,30,100,26.5961,100.709,101.301
5,1655394634,362.4000001,1,north,n1,y,6/16/2022,20220616 09:50:33,09:50:33,15,1655394626,0.003712122,3.712122079,-0.881650883,50.19134839,56.83159332,4.848970612,4.282413339,0.168688826,3.203573592,0.163904982,0.102859123,320.3549382,29.60348538,29.88841613,4.233219474,59.91607794,2.375690912,3.965030745,1.857528563,-163.7045837,-195.8108851,-13.4996386,-52.66016925,0,0,1,0,44786.22996,1799.999677,1531.277679,0.850709974,0.177974998,2,0.5,0: Broadleaf,2,1655394626,50.19134839,49.95962581,27.84390968,26.64127742,48.07977742,27.55976774,600.1439032,85.22336129,0.098381926,28.75466774,29.88841613,999.9,0,0,9996.40871,559.3155806,109.3573871,0.231720229,51.62891613,51.32704194,1.202635,49.95962581,26.64127742,2.372950968,2.270459355,20.17935161,19.4683129,1799.999677,0.642999935,0.357000032,28,30063.39677,1655394616,09:50:16,1655394611,1655394616,8,-0.088,0.002,2.111,0.243,50,27,0.28,0.08,0,0,0,0,0,0,0,0,0,0,0,3.23338,2.78141,0.0117637,0.0124072,0.113353,0.111797,25049.2,24723.6,24367.1,22299.3,31908.5,25266.9,39822,30883.3,2.1998,2.2799,0.129417,0,27.764,999.9,69.3,27,29.1047,63.7457,14.0665,2,-0.0237043,-1.7018,20.358,5.23047,11.9381,4.97915,3.28195,1949.9,8909.5,9999,115.7,4.97169,1.86155,1.86698,1.85822,1.86265,1.86325,1.86403,1.85992,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.112,0.29,2.081011542,0.000678439,-9.11497E-07,3.42204E-10,-0.073436551,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.4,0.3,0.300293,2.4353,2.14966,2.73804,2.15088,2.38403,31.8049,15.9358,19,623.002,718.426,30.0002,26.9111,30,26.8659,26.8341,6.05908,9.10567,100,30,50,26.483,100.712,101.298
6,1655394724,452.9000001,1,north,n1,y,6/16/2022,20220616 09:52:04,09:52:04,15,1655394716,0.00480115,4.801150372,-3.365713313,2.948784,27.47945238,2.344585496,0.251594395,0.221817091,3.204029712,0.213625274,0.134226593,320.3550683,29.37293005,29.88299,4.231899189,60.14106973,2.388729734,3.971877696,1.843169454,-211.7307314,-189.7598997,-13.08218469,-94.21774753,0,0,1,0,44790.03883,1800.000333,1531.27824,0.850709976,0.177975005,2,0.5,0: Broadleaf,2,1655394716,2.948784,1.831604333,27.99684,26.44127,0.760008033,27.70818333,600.003,85.22141667,0.099988693,28.78443333,29.88299,999.9,0,0,9998.561,559.3919333,111.9021333,1.117179,3.033716667,1.881349333,1.555578333,1.831604333,26.44127,2.38593,2.253362333,20.2686,19.34681667,1800.000333,0.642999833,0.357000133,28,30063.40333,1655394686,09:51:26,1655394684,1655394686,9,0.107,0,2.188,0.24,2,26,0.27,0.04,0,0,0,0,0,0,0,0,0,0,0,3.23391,2.7814,0.000190885,0.00046724,0.11321,0.11121,25344.8,25023.3,24369.2,22300,31916.2,25283.5,39825.5,30883.4,2.2022,2.28047,0.127435,0,27.8199,999.9,69.1,27,29.0198,63.7058,13.9984,2,-0.0266362,-1.70662,20.358,5.22942,11.9382,4.9778,3.282,1952.5,8915.4,9999,115.8,4.97177,1.86157,1.86706,1.85824,1.86274,1.86325,1.86415,1.86003,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.189,0.2877,2.188259888,0.000678439,-9.11497E-07,3.42204E-10,-0.073885075,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.7,0.6,0.0317383,4.99878,2.14966,2.73682,2.15088,2.39502,31.8269,15.9095,19,624.321,718.34,30.0006,26.8838,30,26.8219,26.7887,0,9.99967,100,30,0,26.3678,100.721,101.299
7,1655394815,543.4000001,1,north,n1,y,6/16/2022,20220616 09:53:34,09:53:34,15,1655394807,0.005043765,5.04376469,15.94276022,414.1870667,288.5519245,24.61941451,35.33867639,0.23340279,3.203802626,0.224351058,0.141003424,320.3550818,29.32086418,29.86662667,4.227919836,60.0041911,2.384103571,3.973228415,1.843816265,-222.4300228,-185.9068091,-12.81678908,-100.7985392,0,0,1,0,44785.03378,1800.000333,1531.278293,0.850710005,0.177975013,2,0.5,0: Broadleaf,2,1655394807,414.1870667,420.1978,27.94289333,26.30858333,410.9060667,27.65601333,599.9874333,85.22057,0.099999447,28.7903,29.86662667,999.9,0,0,9997.702333,559.3418667,115.6311667,-6.954703,425.1221333,431.5513333,1.634306667,420.1978,26.30858333,2.381308333,2.242033667,20.23722333,19.26586,1800.000333,0.642999833,0.357000167,28,30063.40333,1655394831,09:53:50,1655394831,1655394686,10,0.944,0,3.281,0.24,420,26,0.48,0.04,0,0,0,0,0,0,0,0,0,0,0,3.23383,2.78155,0.0819923,0.0845111,0.113173,0.110982,23271.1,22917.4,24368.8,22297.9,31919,25290.2,39824.7,30881.5,2.20243,2.28188,0.123583,0,27.8546,999.9,68.9,27.1,29.1065,63.7358,13.9143,2,-0.0254827,-1.68538,20.3581,5.23152,11.9382,4.9793,3.282,1955,8921.3,9999,115.8,4.97169,1.86156,1.86697,1.85822,1.86268,1.86325,1.86405,1.85997,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.281,0.2872,2.188259888,0.000678439,-9.11497E-07,3.42204E-10,-0.073885075,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,2.2,2.1,1.38306,2.40112,2.14966,2.73804,2.15088,2.35229,31.9365,15.9007,19,624.244,719.329,30.0003,26.8747,30.0002,26.7999,26.7665,27.7225,10.2937,100,30,420,26.2987,100.719,101.292
8,1655394922,650.4000001,1,north,n1,y,6/16/2022,20220616 09:55:21,09:55:21,15,1655394914,0.004822693,4.82269296,25.52969292,640.5716452,431.676661,36.83109119,54.65422343,0.222431668,3.206816996,0.214202175,0.134590379,320.3549628,29.41733023,29.87492581,4.229937673,59.83341232,2.383411199,3.983411787,1.846526474,-212.6807596,-179.8794321,-12.39281585,-84.59804477,0,0,1,0,44833.1524,1799.999032,1531.277231,0.85071003,0.177975075,2,0.5,0: Broadleaf,2,1655394914,640.5716452,650.1089032,27.93463226,26.37236774,636.7801935,27.65020645,600.1509677,85.22263226,0.098383494,28.83447419,29.87492581,999.9,0,0,10010.17839,559.3703871,119.7569355,-9.537253871,658.9789355,667.7181935,1.562255065,650.1089032,26.37236774,2.380662258,2.247522903,20.23117742,19.30511613,1799.999032,0.642999,0.357001,28,30063.37419,1655394904,09:55:04,1655394903,1655394904,11,0.508,-0.002,3.791,0.232,650,26,0.24,0.06,0,0,0,0,0,0,0,0,0,0,0,3.23365,2.7814,0.112573,0.115861,0.113697,0.110909,22494.1,22131,24366.8,22296.3,31898.3,25290.5,39821.6,30878.4,2.20052,2.28017,0.12188,0,27.9098,999.9,68.6,27.1,28.9785,63.6558,14.0024,2,-0.0224085,-1.67177,20.358,5.22942,11.9381,4.97865,3.28188,1957.7,8927.9,9999,115.8,4.97169,1.86156,1.86696,1.85822,1.86265,1.86325,1.86405,1.85991,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.791,0.2913,3.640648775,0.000678439,-9.11497E-07,3.42204E-10,-0.076260734,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.3,1.95923,2.40723,2.14966,2.73804,2.15088,2.37183,31.9585,15.9007,19,622.911,717.831,30.0004,26.902,30.0001,26.809,26.7715,39.2377,10.2992,100,30,650,26.1775,100.711,101.283
9,1655395012,740.9000001,1,north,n1,y,6/16/2022,20220616 09:56:52,09:56:52,15,1655395004,0.004405189,4.405189217,25.94305105,790.1604194,552.4113042,47.13298596,67.41827995,0.2002559,3.206946144,0.193559203,0.121557518,320.3547494,29.52963839,29.87853871,4.230816369,59.30313588,2.364023285,3.986337737,1.866793084,-194.2688445,-178.3200438,-12.28587888,-64.52001776,0,0,1,0,44833.63994,1799.999032,1531.277145,0.850709983,0.177974956,2,0.5,0: Broadleaf,2,1655395004,790.1604194,799.9656774,27.70699032,26.27967097,786.041,27.43164516,600.164871,85.22400645,0.098262668,28.84714839,29.87853871,999.9,0,0,10010.56194,559.4268387,122.6534194,-9.805128548,812.6740645,821.555871,1.427308738,799.9656774,26.27967097,2.3613,2.239659355,20.09552903,19.24879032,1799.999032,0.643000581,0.356999419,28,30063.41613,1655394997,09:56:36,1655394997,1655394991,12,0.379,-0.002,4.155,0.226,800,26,0.36,0.04,0,0,0,0,0,0,0,0,0,0,0,3.23378,2.78133,0.12974,0.133327,0.113881,0.110764,22056.8,21691.3,24364.6,22293.8,31889.3,25291.8,39818.1,30874.4,2.19992,2.27858,0.118583,0,27.9404,999.9,68.5,27.2,29.1094,63.2558,13.9503,2,-0.018468,-1.63763,20.3585,5.23062,11.9384,4.97775,3.28198,1960.2,8934.2,9999,115.8,4.97172,1.86157,1.86697,1.85822,1.86264,1.86325,1.86404,1.86002,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.157,0.2916,4.019939161,0.000678439,-9.11497E-07,3.42204E-10,-0.078201633,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.3,2.31079,2.39868,2.14966,2.73682,2.15088,2.39014,31.9805,15.8745,19,622.763,716.682,30.0006,26.9425,30.0004,26.8362,26.7955,46.2608,10.5836,100,30,800,26.0848,100.702,101.27
10,1655395103,831.4000001,1,north,n1,y,6/16/2022,20220616 09:58:22,09:58:22,15,1655395095,0.004713766,4.71376574,27.15912533,989.3201667,749.1790044,63.92079165,84.40990454,0.214879212,3.205348346,0.207185299,0.130159128,320.3549122,29.46476167,29.87069333,4.228908492,59.24110545,2.362713874,3.98830146,1.866194619,-207.8770691,-175.4063294,-12.09119248,-75.01967887,0,0,1,0,44803.39802,1799.999,1531.277279,0.850710072,0.17797505,2,0.5,0: Broadleaf,2,1655395095,989.3201667,999.9246,27.69201667,26.16471667,985.0999333,27.41853667,600.1744333,85.22283,0.09828988,28.85565,29.87069333,999.9,0,0,10003.95833,559.508,124.8418333,-10.60442998,1017.492667,1026.79,1.527296316,999.9246,26.16471667,2.359991667,2.229831333,20.08573333,19.17820667,1799.999,0.642999533,0.357000533,28,30063.4,1655395088,09:58:07,1655395088,1655395083,13,0.099,-0.001,4.229,0.221,1000,26,0.15,0.03,0,0,0,0,0,0,0,0,0,0,0,3.23372,2.78134,0.150382,0.154142,0.113949,0.110423,21531.1,21167.3,24362,22290.7,31884.6,25298.2,39814.4,30869.7,2.19917,2.2775,0.116851,0,27.9666,999.9,68.3,27.2,29.0235,63.4958,13.9503,2,-0.0130005,-1.60873,20.3591,5.23077,11.9384,4.9787,3.282,1962.6,8940.8,9999,115.9,4.9717,1.86155,1.86699,1.85822,1.86266,1.86325,1.86407,1.85996,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.23,0.2911,4.119064542,0.000678439,-9.11497E-07,3.42204E-10,-0.07967965,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.2,0.3,2.75635,2.39136,2.14966,2.73682,2.15088,2.41089,32.0244,15.8832,19,622.68,716.261,30.0005,26.9997,30.0004,26.8793,26.8375,55.1606,11.3436,100,30,1000,25.9363,100.692,101.256
