Date,Transect,Plot,ID,A_sat,phi_J,theta_j,Rd,LCP
6/2/2022,north,1,n1,18.04272,0.05182659,0.614986,1.661496,33.31068
6/2/2022,north,2,n2,20.71937,0.05870424,0.5379819,1.7182,30.49156
6/2/2022,north,3,n3,14.706558,0.053032,0.724307,1.066078,20.53586
6/2/2022,north,4,n4,17.8746,0.06146924,0.6094494,1.416053,23.81085
6/2/2022,central,1,c1,19.31949,0.05183772,0.6753907,1.832448,36.55213
6/2/2022,central,2,c2,15.88116,0.05157069,0.8468691,1.046041,20.50264
6/2/2022,central,3,c3,17.4292,0.05600344,0.7803017,0.5443661,9.789076
6/2/2022,central,4,c4,17.70194,0.06391115,0.7764664,1.582574,25.30552
6/2/2022,south,1,s1,24.00898,0.06130166,0.616027,2.032148,34.32696
6/2/2022,south,2,s2,20.17005,0.05891575,0.8156074,0.933771,15.99112
6/2/2022,south,3,s3,18.21196,0.0559962,0.7586604,1.034756,18.7477
6/2/2022,south,4,s4,17.13612,0.04851729,0.7293686,0.9867448,20.67431
6/3/2022,north,1,n1,17.45788,0.06078587,0.8526419,1.586471,26.48377
6/3/2022,north,2,n2,26.63523,0.05602123,0.6621827,1.99173,36.52384
6/3/2022,north,3,n3,16.3097,0.04881641,0.8214861,1.243213,25.84225
6/3/2022,north,4,n4,16.81855,0.06261979,0.8638945,1.445802,23.38413
6/3/2022,central,1,c1,23.13783,0.0593563,0.7695789,2.7033,46.93189
6/3/2022,central,2,c2,20.64681,0.06397058,0.743761,1.632019,26.0731
6/3/2022,central,3,c3,21.80131,0.05785493,0.6315315,1.216678,21.4878
6/3/2022,central,4,c4,18.80089,0.05376328,0.5376307,1.429858,27.60762
6/27/2022,north,1,n1,14.67543,0.06478276,0.6528311,1.181382,18.79032
6/27/2022,north,2,n2,19.11839,0.06074857,0.7791143,1.564199,26.25554
6/27/2022,north,3,n3,20.09704,0.05553342,0.7524463,1.268055,23.21478
6/27/2022,north,4,n4,14.64846,0.05130048,0.8431467,1.115081,22.01718
6/27/2022,central,1,c1,16.01748,0.06087734,0.6842994,1.752478,29.90352
6/27/2022,central,2,c2,17.84518,0.04936336,0.6477039,1.902197,40.15432
6/27/2022,central,3,c3,22.11752,0.06399661,0.7935624,1.345778,21.31016
6/27/2022,central,4,c4,15.3598,0.04851455,0.8013946,1.33842,28.11102
6/27/2022,south,1,s1,22.17254,0.05177197,0.7171651,1.822736,36.09892
6/27/2022,south,4,s4,15.76613,0.0655002,0.7811369,1.254884,19.52108
6/27/2022,control,22,control,14.0688,0.03541474,0.3765899,1.624261,49.59584
7/8/2022,control,22,control,8.308253,0.04579292,0.8151295,0.6098566,13.51275
7/8/2022,control,22,control2,9.675529,0.05545663,0.8823982,1.547283,28.52538
7/8/2022,control,22,control3,13.35655,0.03229848,0.000318169,0.9781343,32.6765
7/8/2022,south,1,s1,24.49365,0.06556255,0.7743856,1.426429,22.06031
7/8/2022,south,2,s2,19.78042,0.06121344,0.8588374,1.452668,23.99671
7/8/2022,south,3,s3,14.95761,0.04641284,0.8636717,0.6981419,15.1424
7/8/2022,south,4,s4,13.82422,0.05101496,0.922495,0.4120095,8.095476
7/13/2022,north,1,n1,13.28528,0.05354992,0.8827347,0.6727619,12.64185
7/13/2022,north,2,n2,20.43399,0.06552206,0.6939609,1.12627,17.49603
7/13/2022,north,3,n3,15.77185,0.05735812,0.6996828,1.345424,24.11353
7/13/2022,north,4,n4,15.66355,0.05464646,0.6950917,0.7089737,13.16137
7/13/2022,control,22,control,3.256897,0.01949838,0.438565,1.004049,14.4423
