ID,Transect,Plot,obs,time,elapsed,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
control,control,22,6,1657291856,1621.4,n,7/8/2022,20220708 08:50:56,8:50:56,15,1657291848,0.000875239,0.875238588,6.309114036,417.6328387,194.2605358,16.63962842,35.77286157,0.047440469,3.213306084,0.047054774,0.029443625,427.1315662,26.61119849,26.04840645,3.383935659,59.57581723,1.839270341,3.087276728,1.544665318,-38.59802175,-267.1530089,-17.63530042,103.7452351,0,0,1,0,45603.00434,2399.952581,2041.663541,0.850709951,0.177975002,2.1,0.5,0: Broadleaf,2,1657291848,417.6328387,419.9690323,21.47269355,21.17292903,413.6448387,21.20969355,599.9823548,85.5563,0.099946948,24.50627097,26.04840645,999.9,0,0,9996.354516,740.6050645,838.6353871,-2.235238065,426.9013226,429.0533226,0.301634903,419.9690323,21.17292903,1.837282581,1.811476452,16.10765161,15.88617097,2399.952581,0.642999774,0.357000161,25,40083.76129,1657291877,8:51:17,1657291877,1657291872,10,-0.102,0.002,3.988,0.263,420,21,0.49,0.15,0,0,0,0,0,0,0,0,0,0,0,3.23607,2.78101,0.0831653,0.0852536,0.0949953,0.09649,23330.1,23001.5,24454.2,22391.7,32684.1,25846.8,39953.7,31056.6,2.23373,2.32262,0.12083,0,24.1054,999.9,65.3,25.6,25.1521,63.9501,10.8373,2,-0.182101,-0.0952859,20.359,5.22927,11.9381,4.97815,3.28055,5682,9999,9999,151.7,4.97166,1.86152,1.86701,1.85822,1.86264,1.86325,1.86399,1.86006,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.988,0.263,3.940031659,0.000678439,-9.11E-07,3.42E-10,0.094289351,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,4.3,4.4,1.36475,2.37671,2.14966,2.7356,2.15088,2.38281,32.3107,16.0934,19,621.695,724.98,24.0011,24.8014,30.0012,24.525,24.4744,27.3453,17.9315,67.6909,24,420,21.2778,101.055,101.804
control,control,22,7,1657291938,1703.4,n,7/8/2022,20220708 08:52:18,8:52:18,15,1657291930,0.000866323,0.866323358,6.667878613,417.5352258,188.2377227,16.1231842,35.76327454,0.048706637,3.214868568,0.04830037,0.03022395,355.9468597,26.31428208,25.84502258,3.343438363,59.73158321,1.853755375,3.103476042,1.489682989,-38.20486008,-216.8697178,-14.30067174,86.57161004,0,0,1,0,45618.27463,1999.983226,1701.405618,0.850709944,0.177974923,2.1,0.5,0: Broadleaf,2,1657291930,417.5352258,419.9956452,21.64254194,21.34588387,413.6032258,21.37954194,599.9854516,85.5534129,0.099898068,24.59375484,25.84502258,999.9,0,0,10003.26226,608.0622903,812.951871,-2.40512,426.8319677,429.1563871,0.30519671,419.9956452,21.34588387,1.852323226,1.826212903,16.23546129,16.01297097,1999.983226,0.643000935,0.356999032,25,33403.52258,1657291955,8:52:34,1657291955,1657291954,11,-0.056,-0.002,3.932,0.263,420,21,0.28,0.25,0,0,0,0,0,0,0,0,0,0,0,3.23583,2.78112,0.0830993,0.0852038,0.09545,0.0969182,23322,22993.6,24444.9,22383.5,32656.4,25825.1,39939.6,31044.8,2.2302,2.31695,0.100154,0,24.2085,999.9,65,25.8,25.3345,63.9101,11.0096,2,-0.164202,-0.0210158,20.3646,5.23331,11.9381,4.9792,3.281,5684.3,9999,9999,151.7,4.97166,1.86155,1.86706,1.85834,1.86264,1.86325,1.86401,1.8601,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.932,0.263,3.83842158,0.000678439,-9.11E-07,3.42E-10,0.096706406,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.36475,2.37793,2.14966,2.73682,2.15088,2.37305,32.798,16.0934,19,622.128,723.463,24.0009,25.0547,30.001,24.7881,24.7351,27.3458,18.5056,68.0915,24,420,21.3646,101.019,101.766
control,control,22,8,1657292016,1780.9,n,7/8/2022,20220708 08:53:35,8:53:35,15,1657292008,0.000869321,0.869320544,6.858950614,417.4652258,193.95106,16.61283156,35.75788386,0.051389098,3.213802976,0.050936925,0.031875872,266.9620559,25.85499086,25.5347871,3.282480366,59.9977021,1.864565427,3.107728066,1.417914939,-38.33703597,-159.0784916,-10.47814142,59.06838692,0,0,1,0,45595.19577,1499.997097,1276.062559,0.850710019,0.177975048,2.1,0.5,0: Broadleaf,2,1657292008,417.4652258,419.9929032,21.76838065,21.47073871,413.6022258,21.50038065,599.993871,85.55472903,0.100031297,24.61665161,25.5347871,999.9,0,0,9998.627419,452.7682258,849.0128387,-2.459374194,426.8266774,429.2084194,0.301821097,419.9929032,21.47073871,1.862744839,1.836922903,16.3235,16.1045871,1499.997097,0.642999355,0.357000645,25.91532258,25052.8129,1657292037,8:53:56,1657292037,1657292033,12,-0.069,0.003,3.863,0.268,420,21,0.31,0.2,0,0,0,0,0,0,0,0,0,0,0,3.23568,2.78126,0.0830565,0.0851519,0.0957253,0.097154,23316.7,22987.6,24439,22377,32639.2,25810.8,39930.5,31035.5,2.22693,2.3117,0.0819564,0,24.1971,999.9,64.6,26.1,25.6298,63.8301,10.8894,2,-0.148684,0.0683824,20.3705,5.22972,11.9381,4.97905,3.281,5686.3,9999,9999,151.8,4.97168,1.86157,1.86707,1.85836,1.86266,1.86327,1.86401,1.86012,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.863,0.268,3.782536079,0.000678439,-9.11E-07,3.42E-10,0.094285936,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.36475,2.38037,2.14966,2.73682,2.15088,2.38159,33.1545,16.0758,19,622.292,721.843,24.0014,25.2634,30.0011,25.0133,24.9622,27.3477,18.9766,68.0915,24,420,21.401,100.995,101.736
control,control,22,9,1657292098,1862.9,n,7/8/2022,20220708 08:54:57,8:54:57,15,1657292090,0.000928082,0.928081872,6.845611114,417.4802258,212.3130924,18.18479994,35.75754232,0.056127003,3.213032189,0.055587952,0.03479047,213.5696775,25.58598634,25.37617742,3.251692029,59.87029522,1.864396079,3.114058603,1.38729595,-40.92841056,-125.6695941,-8.274361907,38.69731083,0,0,1,0,45575.721,1199.99871,1020.850865,0.850709969,0.177974923,2.1,0.5,0: Broadleaf,2,1657292090,417.4802258,420.0117742,21.76739355,21.44963871,413.5942258,21.49839355,600.0059355,85.55078065,0.100084016,24.65069032,25.37617742,999.9,0,0,9995.847742,363.3002903,857.5155484,-2.555176129,426.7486129,429.2183548,0.324218581,420.0117742,21.44963871,1.862770968,1.835032581,16.32371935,16.08843548,1199.99871,0.643001032,0.356998968,26,20042.26452,1657292118,8:55:18,1657292118,1657292114,13,0.023,0.001,3.886,0.269,420,21,0.53,0.22,0,0,0,0,0,0,0,0,0,0,0,3.23536,2.78121,0.0830033,0.0851004,0.0955896,0.0971657,23308.8,22979.4,24430.1,22368.5,32633.3,25800.9,39916.9,31023.6,2.2241,2.30562,0.0719577,0,24.2052,999.9,64.2,26.4,25.9299,63.9701,11.0497,2,-0.129507,0.171972,20.3729,5.23301,11.9381,4.97905,3.281,5688.5,9999,9999,151.8,4.97169,1.86157,1.86707,1.85837,1.86274,1.86331,1.86401,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.886,0.269,3.713569851,0.000678439,-9.11E-07,3.42E-10,0.097623936,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.36475,2.38281,2.14966,2.7356,2.15088,2.38647,33.5804,16.0846,19,622.903,719.613,24.0015,25.4889,30.0012,25.2492,25.201,27.3494,19.8252,68.0915,24,420,21.4465,100.96,101.697
control,control,22,10,1657292179,1944.5,n,7/8/2022,20220708 08:56:19,8:56:19,15,1657292171,0.000851622,0.851621671,7.013898236,417.4151613,195.7807241,16.76822475,35.75076796,0.052930141,3.213833145,0.052450582,0.032824338,160.1775653,25.33218744,25.20347097,3.218454534,59.95980059,1.869120868,3.11729,1.349333666,-37.55651567,-92.77066822,-6.101924097,23.74845735,0,0,1,0,45587.73292,900.0007097,765.6395793,0.850709973,0.177974932,2.1,0.5,0: Broadleaf,2,1657292171,417.4151613,419.9945161,21.82329032,21.53171935,413.5641613,21.55529032,599.983129,85.54802581,0.099960368,24.66804194,25.20347097,999.9,0,0,9999.537742,274.342871,760.4324194,-2.544209032,426.767871,429.2366452,0.301285355,419.9945161,21.53171935,1.867770645,1.841997097,16.36580645,16.14779677,900.0007097,0.643000903,0.356999097,26,15031.73548,1657292202,8:56:41,1657292202,1657292195,14,-0.035,-0.003,3.851,0.268,420,22,0.31,0.19,0,0,0,0,0,0,0,0,0,0,0,3.23506,2.7812,0.0829485,0.0850483,0.0957697,0.0972792,23300.7,22971.6,24421.1,22360.3,32615.2,25788.5,39902.3,31012.2,2.2208,2.29993,0.0610016,0,24.2012,999.9,63.7,26.6,26.0325,63.5238,11.1458,2,-0.109845,0.264758,20.3758,5.23212,11.9381,4.9792,3.281,5690.7,9999,9999,151.8,4.97169,1.86157,1.86707,1.85837,1.86276,1.86332,1.86402,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.851,0.268,3.737100257,0.000678439,-9.11E-07,3.42E-10,0.098432892,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.36475,2.38892,2.14966,2.7356,2.15088,2.3645,34.0092,16.0758,19,623.167,717.716,24.0009,25.7212,30.0012,25.4871,25.4401,27.3507,20.3486,68.0915,24,420,21.4654,100.923,101.66
control,control,22,11,1657292263,2028,n,7/8/2022,20220708 08:57:42,8:57:42,15,1657292255,0.000899097,0.899097453,7.05346826,417.4004839,211.6717708,18.12866285,35.74833156,0.057541954,3.210639597,0.056975111,0.035659908,106.785289,25.03183688,25.00826452,3.181244627,59.97482598,1.869570869,3.117259348,1.311673758,-39.65019766,-58.91828402,-3.875346263,4.341461074,0,0,1,0,45528.96812,600.0006452,510.4266185,0.850710116,0.17797529,2.1,0.5,0: Broadleaf,2,1657292255,417.4004839,420.0006129,21.82926452,21.52144194,413.5734839,21.56126452,599.9848065,85.5451129,0.100047887,24.66787742,25.00826452,999.9,0,0,9986.45,184.5715806,871.7598387,-2.575910968,426.7430968,429.2383871,0.315023,420.0006129,21.52144194,1.868003226,1.841053548,16.36776452,16.13974839,600.0006452,0.642996129,0.357003871,26,10021.13871,1657292287,8:58:06,1657292287,1657292279,15,-0.024,0.001,3.827,0.268,420,21,0.75,0.12,0,0,0,0,0,0,0,0,0,0,0,3.23487,2.78123,0.0828967,0.084986,0.0956397,0.097009,23292.5,22963.7,24411.9,22351.9,32608.9,25786.4,39888.4,31000.1,2.21808,2.2938,0.0502169,0,24.1753,999.9,63.3,26.9,26.3288,63.4438,11.2861,2,-0.0904751,0.339951,20.3784,5.23002,11.9381,4.979,3.281,5693,9999,9999,151.8,4.97172,1.86159,1.86714,1.85844,1.86279,1.86338,1.86405,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.827,0.268,3.702150368,0.000678439,-9.11E-07,3.42E-10,0.095770447,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.36475,2.38525,2.14966,2.73438,2.15088,2.37427,34.3725,16.0758,19,623.83,715.381,24.0009,25.9522,30.0012,25.7234,25.6769,27.3501,21.1955,68.0915,24,420,21.5079,100.887,101.62
control,control,22,12,1657292395,2160,y,7/8/2022,20220708 08:59:54,8:59:54,15,1657292387,0.0010664,1.066399761,7.533911355,417.2110323,193.0062579,16.53043079,35.73292476,0.056555767,3.212874593,0.056008465,0.035054022,427.1230062,27.03323188,26.47678387,3.470637012,59.5611714,1.89096029,3.174820518,1.579676722,-47.02822946,-260.2383638,-17.25872491,102.597688,0,0,1,0,45523.24164,2399.904516,2041.622711,0.850709975,0.177975,2.1,0.5,0: Broadleaf,2,1657292387,417.2110323,420.0037742,22.07850323,21.71348387,413.4110323,21.80450323,599.9670968,85.54717419,0.099949206,24.97436129,26.47678387,999.9,0,0,9995.606452,739.4253226,778.5392258,-2.765441935,426.6620968,429.325871,0.373880065,420.0037742,21.71348387,1.889510968,1.857526774,16.54764516,16.27948387,2399.904516,0.642999903,0.357000065,26.82929677,40082.95161,1657292412,9:00:11,1657292411,1657292412,16,-0.027,-0.001,3.8,0.274,420,22,0.33,0.11,0,0,0,0,0,0,0,0,0,0,0,3.23453,2.78117,0.0827949,0.0849127,0.0964724,0.0977361,23281.7,22954.5,24399.2,22342.2,32563.5,25754.5,39869.4,30986.2,2.2138,2.2856,0.118181,0,24.5449,999.9,62.4,27.4,26.728,63.7737,11.6226,2,-0.0622637,0.447307,20.3577,5.22777,11.9381,4.9783,3.28055,5696.4,9999,9999,151.9,4.97172,1.86163,1.86717,1.85851,1.86279,1.86338,1.86405,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.8,0.274,3.678365412,0.000678439,-9.11E-07,3.42E-10,0.097188692,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.8,1.9,1.36475,2.39258,2.14966,2.73193,2.15088,2.38403,34.9674,16.0583,19,624.773,712.925,24.0013,26.3056,30.001,26.0876,26.0446,27.359,21.1241,67.3452,24,420,21.7495,100.837,101.575
control,control,22,13,1657292473,2238,y,7/8/2022,20220708 09:01:12,9:01:12,15,1657292465,0.001080069,1.080069058,7.378072726,417.2474839,208.1261696,17.82549912,35.73622996,0.059554055,3.213752857,0.058947684,0.036896268,355.9465014,26.72243557,26.28078387,3.430729869,59.89195207,1.910383525,3.18971658,1.520346343,-47.63104547,-212.7457624,-14.09686303,81.4728305,0,0,1,0,45527.38551,1999.980968,1701.403765,0.850709978,0.177974944,2.1,0.5,0: Broadleaf,2,1657292465,417.2474839,419.9875484,22.30517097,21.93557742,413.4754839,22.02317097,599.9979355,85.54753548,0.100027042,25.05288387,26.28078387,999.9,0,0,9999.257419,607.2711935,1210.690323,-2.712218065,426.7975806,429.406871,0.375253387,419.9875484,21.93557742,1.908636129,1.876534194,16.70608387,16.43932581,1999.980968,0.643000742,0.356999258,27,33403.47419,1657292499,9:01:38,1657292499,1657292495,17,-0.028,0.003,3.772,0.282,420,22,0.45,0.22,0,0,0,0,0,0,0,0,0,0,0,3.23423,2.78129,0.0827617,0.0848701,0.0970416,0.0983329,23275.2,22947.5,24392.2,22334.9,32534.2,25729.1,39858.5,30975.8,2.21055,2.28067,0.0949651,0,24.7288,999.9,61.9,27.7,26.9789,63.7737,11.6266,2,-0.0478125,0.548693,20.3629,5.22927,11.9381,4.97935,3.281,5698.7,9999,9999,151.9,4.9717,1.86169,1.86722,1.85852,1.86279,1.8634,1.86413,1.86025,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.772,0.282,3.651013327,0.000678439,-9.11E-07,3.42E-10,0.096317757,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.36597,2.39136,2.14966,2.73071,2.15088,2.39258,35.2902,16.0671,19,624.565,711.138,24.0013,26.4875,30.0009,26.2851,26.244,27.369,21.2342,67.3452,24,420,21.8699,100.809,101.542
control,control,22,14,1657292560,2325,y,7/8/2022,20220708 09:02:39,9:02:39,15,1657292552,0.000951294,0.951293527,7.325660329,417.2807097,193.722535,16.59226796,35.7399481,0.054952619,3.213796421,0.054435899,0.034068457,266.9624077,26.2852319,25.95317742,3.364920866,59.96433402,1.91428025,3.19236473,1.450640616,-41.95204453,-153.5740185,-10.15987058,61.27647415,0,0,1,0,45526.10412,1499.999032,1276.064284,0.850710072,0.177975053,2.1,0.5,0: Broadleaf,2,1657292552,417.2807097,419.9836129,22.35012258,22.0246129,413.5027097,22.06712258,600.0028065,85.54963548,0.100017797,25.06680968,25.95317742,999.9,0,0,9999.195161,451.6282258,1222.970968,-2.70927,426.8174839,429.4419355,0.334200194,419.9836129,22.0246129,1.912787097,1.884197419,16.7403,16.50335484,1499.999032,0.642999484,0.357000581,27.96505806,25052.81935,1657292576,9:02:55,1657292576,1657292576,18,0.006,-0.001,3.778,0.283,420,22,0.19,0.27,0,0,0,0,0,0,0,0,0,0,0,3.23391,2.78121,0.0827261,0.0848276,0.0972093,0.09866,23268.7,22941.6,24385.2,22328.7,32519.7,25712.9,39848,30967.4,2.2072,2.27583,0.0762641,0,24.7086,999.9,61.4,28,27.2369,63.6238,11.7829,2,-0.0337627,0.633853,20.3682,5.23212,11.9381,4.9784,3.281,5700.9,9999,9999,151.9,4.97171,1.86172,1.86722,1.85852,1.86279,1.8634,1.86413,1.86029,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.778,0.283,3.622807486,0.000678439,-9.11E-07,3.42E-10,0.099200528,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.36597,2.39258,2.14966,2.72827,2.15088,2.40601,35.638,16.0671,19,624.306,709.455,24.0011,26.6678,30.0008,26.4855,26.4466,27.3791,21.5058,66.9556,24,420,21.9761,100.781,101.514
control,control,22,15,1657292637,2402,y,7/8/2022,20220708 09:03:56,9:03:56,15,1657292629,0.000955486,0.955485675,7.430070149,417.2305806,198.387974,16.99279862,35.73762608,0.056948605,3.21406005,0.056393916,0.035295584,213.5700893,25.98286524,25.74651613,3.323976635,60.09719767,1.917129286,3.190047724,1.406847349,-42.13691826,-119.888268,-7.921974506,43.62292854,0,0,1,0,45532.90868,1200.000323,1020.852287,0.850710011,0.177975027,2.1,0.5,0: Broadleaf,2,1657292629,417.2305806,419.9706129,22.38215161,22.05521935,413.5065806,22.10115161,600.0049355,85.55432903,0.100049487,25.05462581,25.74651613,999.9,0,0,9999.755161,362.2982581,1227.639355,-2.686531935,426.8420968,429.4420968,0.337328645,419.9706129,22.05521935,1.915778387,1.886919355,16.76490968,16.52606774,1200.000323,0.642999645,0.357000355,28,20042.25806,1657292660,9:04:20,1657292660,1657292654,19,-0.054,-0.002,3.724,0.281,420,22,0.78,0.16,0,0,0,0,0,0,0,0,0,0,0,3.23396,2.78128,0.0827039,0.0848034,0.0972205,0.0986326,23265.2,22936.9,24381.4,22323.9,32515,25708,39842.4,30960.2,2.20585,2.27143,0.0669137,0,24.6505,999.9,60.9,28.3,27.4889,63.6638,11.871,2,-0.023562,0.663521,20.3707,5.23226,11.9381,4.97935,3.28103,5702.8,9999,9999,151.9,4.9717,1.86172,1.86722,1.85852,1.86279,1.8634,1.86416,1.86029,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.724,0.281,3.628656866,0.000678439,-9.11E-07,3.42E-10,0.09802256,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.36719,2.39868,2.14966,2.72583,2.15088,2.38403,35.9645,16.0583,19,625.041,707.586,24.0002,26.8074,30.0007,26.641,26.6057,27.3868,22.0733,66.5853,24,420,21.9868,100.767,101.491
