ID,Transect,Plot,obs,time,elapsed,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
n1,north,1,1,1656345752,0,n,6/27/2022,20220627 10:02:32,10:02:32,15,1656345744,0.002659088,2.659088442,11.50600013,415.5756774,244.9611061,21.01594046,35.653471,0.118163315,3.217903773,0.115804656,0.072585905,427.131847,29.70057607,29.32309032,4.097578649,57.87742198,2.199914922,3.800989827,1.897663727,-117.2658003,-224.7150225,-15.32470447,69.82631977,0,0,1,0,45156.08356,2399.954516,2041.665344,0.850710015,0.177974976,2.1,0.5,0: Broadleaf,2,1656345744,415.5756774,419.9894194,25.64213548,24.73534516,411.8586774,25.39713548,600.0171935,85.69292581,0.100042687,28.02778065,29.32309032,999.9,0,0,9999.721613,760.8410645,103.9656774,-4.372771935,426.5685806,430.6415806,0.939097065,419.9894194,24.73534516,2.200117742,2.119643871,18.96317097,18.36757742,2399.954516,0.643000419,0.356999613,25,40083.81935,1656345769,10:02:49,1656345768,1656345769,3,-0.041,-0.005,3.717,0.245,420,25,0.37,0.08,0,0,0,0,0,0,0,0,0,0,0,3.23646,2.78117,0.0830548,0.0854099,0.107831,0.107491,23350.6,22981.8,24471.8,22375.5,32240.4,25491.9,39987.9,31009.8,2.23257,2.33118,0.155166,0,26.8075,999.9,69.2,25.4,26.297,64.135,11.3421,2,-0.207919,-2.49455,20.3412,5.23361,11.9381,4.9792,3.28185,2553.7,9999,9999,122.1,4.97159,1.86137,1.86688,1.85806,1.86258,1.8631,1.86393,1.85985,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.717,0.245,3.609332116,0.000678439,-9.11E-07,3.42E-10,-0.010244504,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.9,1.8,1.37207,2.37915,2.14966,2.73071,2.15088,2.37305,30.2864,15.8219,19,620.834,733.169,30.0012,24.5789,30.0001,24.5243,24.4934,27.4845,0,100,30,420,25.2894,101.137,101.684
n1,north,1,2,1656345830,78,n,6/27/2022,20220627 10:03:50,10:03:50,15,1656345822,0.002674427,2.674427204,11.95294387,415.4363548,244.6942916,20.99256118,35.64068878,0.122455461,3.218133594,0.119924494,0.075175849,355.9492543,29.33677231,29.08916774,4.042570795,57.77036514,2.198948537,3.806360808,1.843622257,-117.9422397,-179.9427945,-12.25772392,45.80649616,0,0,1,0,45156.58613,1999.995484,1701.416181,0.850710012,0.177975029,2.1,0.5,0: Broadleaf,2,1656345822,415.4363548,420.0085806,25.63146774,24.71944516,411.7613548,25.38546774,600.0227742,85.69091935,0.100052884,28.05200968,29.08916774,999.9,0,0,10000.92097,623.3578065,104.8280323,-4.530758065,426.4188387,430.654,0.938386419,420.0085806,24.71944516,2.198642581,2.118230968,18.95242258,18.35695161,1999.995484,0.642999613,0.357000387,25,33403.72258,1656345848,10:04:08,1656345846,1656345848,4,-0.042,0.001,3.675,0.246,420,25,0.27,0.1,0,0,0,0,0,0,0,0,0,0,0,3.23641,2.78114,0.083035,0.0854065,0.107785,0.107447,23351.2,22981.4,24471.9,22375.1,32242.3,25492.5,39988.2,31008.9,2.23222,2.3305,0.136442,0,26.8695,999.9,69,25.5,26.3765,63.805,11.258,2,-0.206923,-2.46123,20.3468,5.23376,11.9381,4.9794,3.2819,2555.6,9999,9999,122.1,4.97159,1.86132,1.86686,1.85806,1.86259,1.8631,1.86394,1.85988,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.675,0.246,3.567800209,0.000678439,-9.11E-07,3.42E-10,-0.014834895,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.37207,2.38159,2.14966,2.72949,2.15088,2.40723,30.2864,15.8132,19,620.494,732.394,30.0011,24.5871,30.0002,24.5175,24.4832,27.4884,0,100,30,420,25.2894,101.137,101.682
n1,north,1,3,1656345909,157,n,6/27/2022,20220627 10:05:09,10:05:09,15,1656345901,0.002613833,2.613832864,12.01239551,415.4176774,246.6228331,21.15750492,35.63823123,0.124305994,3.218444551,0.121699077,0.07629159,266.9629834,28.86561602,28.79006129,3.973173448,57.7331942,2.196872813,3.805216122,1.776300634,-115.2700293,-128.9569389,-8.770413505,13.96560167,0,0,1,0,45162.97267,1500.003226,1276.067708,0.850709976,0.17797494,2.1,0.5,0: Broadleaf,2,1656345901,415.4176774,420.002,25.6078871,24.71648387,411.7096774,25.3628871,600.0074839,85.68890645,0.100007142,28.04684839,28.79006129,999.9,0,0,10002.46194,462.8143226,105.5079355,-4.617411613,426.3133226,430.6460323,0.918846613,420.002,24.71648387,2.196662903,2.11792871,18.93800323,18.35466774,1500.003226,0.643000806,0.356999194,25,25052.90323,1656345929,10:05:28,1656345929,1656345929,5,0.033,0,3.708,0.245,420,25,0.88,0.11,0,0,0,0,0,0,0,0,0,0,0,3.23644,2.78135,0.0830177,0.0854062,0.107717,0.107434,23350,22978.7,24470.3,22372.5,32242.8,25489.5,39985.6,31004.8,2.23178,2.32965,0.120699,0,26.8129,999.9,68.9,25.5,26.3372,64.245,11.3822,2,-0.203968,-2.42052,20.3526,5.23256,11.9381,4.97915,3.28198,2558,9999,9999,122.2,4.97161,1.86139,1.86688,1.85806,1.86262,1.8631,1.864,1.85988,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.708,0.245,3.526091005,0.000678439,-9.11E-07,3.42E-10,-0.014058078,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.1,1,1.37207,2.3877,2.14966,2.73071,2.15088,2.34985,30.2649,15.7957,19,620.279,731.727,29.9996,24.6161,30.0004,24.5278,24.4917,27.4882,0,100,30,420,25.2894,101.131,101.669
n1,north,1,4,1656345990,237.5,y,6/27/2022,20220627 10:06:29,10:06:29,15,1656345982,0.0025867,2.586699745,12.4031923,415.2742581,243.9785877,20.93008587,35.62495366,0.12612142,3.219014309,0.12343915,0.077385709,213.5705679,28.55447271,28.59759677,3.929070066,57.79747232,2.195561665,3.798715717,1.733508401,-114.0734588,-100.6697849,-6.837823825,-8.01049964,0,0,1,0,45177.68724,1200.003226,1020.85447,0.850709772,0.177974995,2.1,0.5,0: Broadleaf,2,1656345982,415.2742581,419.9912903,25.59330323,24.71113871,411.6172581,25.34830323,600.0065484,85.68657097,0.099997723,28.0175129,28.59759677,999.9,0,0,10005.12774,371.1305161,106.4102581,-4.666696129,426.2450645,430.6327097,0.90885871,419.9912903,24.71113871,2.195289677,2.117413871,18.92798065,18.35079032,1200.003226,0.642999194,0.357000516,25,20042.30323,1656346007,10:06:47,1656346006,1656346007,6,-0.05,0,3.657,0.245,420,25,0.2,0.12,0,0,0,0,0,0,0,0,0,0,0,3.23628,2.78132,0.0830001,0.0853992,0.107655,0.107405,23347.8,22976,24467.6,22369.8,32241.7,25487.2,39981.2,31000.9,2.23108,2.3283,0.112444,0,26.753,999.9,68.8,25.5,26.3027,64.165,11.4263,2,-0.200069,-2.42721,20.355,5.23376,11.9381,4.97925,3.28185,2560.2,9999,9999,122.2,4.97162,1.86139,1.86689,1.85806,1.86255,1.8631,1.86399,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.657,0.245,3.558652335,0.000678439,-9.11E-07,3.42E-10,-0.014351362,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.37207,2.38037,2.14966,2.73071,2.15088,2.38647,30.3724,15.7957,19,620.069,730.846,30.0002,24.6587,30.0004,24.5546,24.5175,27.4855,0,100,30,420,25.2894,101.12,101.656
n1,north,1,5,1656346068,316,y,6/27/2022,20220627 10:07:48,10:07:48,15,1656346060,0.002543945,2.543945287,12.15770289,415.3857097,248.9582908,21.35642427,35.63309107,0.127355797,3.217638995,0.124620239,0.078128534,160.1778769,28.23164828,28.3948,3.883061605,57.90657029,2.193947286,3.788770904,1.689114318,-112.1879872,-73.24771431,-4.971214044,-30.22903861,0,0,1,0,45159.3417,900.0020323,765.6407123,0.850709982,0.177975017,2.1,0.5,0: Broadleaf,2,1656346060,415.3857097,420.0107097,25.57550645,24.70790645,411.7107097,25.33050645,600.0061613,85.68310645,0.100034952,27.97254839,28.3948,999.9,0,0,9999.755484,280.1920645,106.9894516,-4.642945484,426.281129,430.6511613,0.893445323,420.0107097,24.70790645,2.193603226,2.117050323,18.91567097,18.34805806,900.0020323,0.642999677,0.35700029,25,15031.74194,1656346087,10:08:07,1656346087,1656346086,7,0.018,0,3.675,0.245,420,25,0.22,0.12,0,0,0,0,0,0,0,0,0,0,0,3.2361,2.7811,0.0830039,0.0853975,0.107595,0.107393,23345.6,22973.2,24465.6,22367.3,32241.5,25484.3,39978.1,30996.9,2.23027,2.32737,0.104323,0,26.6804,999.9,68.7,25.5,26.2647,63.945,11.4704,2,-0.195628,-2.43772,20.3579,5.23421,11.9381,4.97935,3.28183,2562.2,9999,9999,122.2,4.9716,1.86139,1.86685,1.85806,1.86258,1.8631,1.86397,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.675,0.245,3.508294103,0.000678439,-9.11E-07,3.42E-10,-0.01464618,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.37207,2.38159,2.14966,2.73315,2.15088,2.40112,30.3724,15.7957,19,619.91,730.486,30.0001,24.7108,30.0004,24.5922,24.5522,27.4836,0,100,30,420,25.2894,101.112,101.644
n1,north,1,6,1656346148,396,y,6/27/2022,20220627 10:09:08,10:09:08,15,1656346140,0.002478672,2.478672253,11.49216772,415.6243226,258.0034213,22.13179851,35.65268133,0.127484846,3.218781809,0.124744755,0.078206753,106.7851938,27.91007877,28.18716129,3.836442244,58.01673495,2.191868506,3.777993554,1.644573738,-109.3094464,-45.71813214,-3.097759057,-51.34014375,0,0,1,0,45187.42054,600.0010645,510.4269073,0.850710003,0.177975007,2.1,0.5,0: Broadleaf,2,1656346140,415.6243226,420.0070645,25.55190323,24.70655161,411.9593226,25.30590323,600.0117097,85.68101935,0.100007874,27.92370323,28.18716129,999.9,0,0,10004.79935,188.5553548,108.1208387,-4.372644839,426.5438065,430.6469032,0.869786194,420.0070645,24.70655161,2.191406774,2.116883226,18.89964194,18.3467871,600.0010645,0.642999903,0.357000097,25,10021.13871,1656346176,10:09:36,1656346176,1656346169,8,-0.011,0.001,3.665,0.246,420,25,0.39,0.15,0,0,0,0,0,0,0,0,0,0,0,3.23625,2.78139,0.0830267,0.0853739,0.107508,0.107375,23343.4,22971.8,24464.1,22365.4,32242.9,25482.8,39975.8,30994.2,2.22975,2.32573,0.0973344,0,26.5882,999.9,68.5,25.6,26.3438,63.865,11.4343,2,-0.191301,-2.43118,20.361,5.22927,11.9381,4.9795,3.28183,2564.5,9999,9999,122.2,4.97162,1.86138,1.86688,1.85806,1.86259,1.8631,1.86399,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.665,0.246,3.526344931,0.000678439,-9.11E-07,3.42E-10,-0.014304401,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.37207,2.3877,2.14966,2.73071,2.15088,2.39136,30.3939,15.7869,19,620.054,729.605,29.9999,24.7637,30.0004,24.6382,24.5974,27.4836,0,100,30,420,25.2894,101.106,101.635
n1,north,1,7,1656346237,485,y,6/27/2022,20220627 10:10:37,10:10:37,15,1656346229,0.002456585,2.456585074,10.30680209,416.0460645,274.7673939,23.57024978,35.68949547,0.128736178,3.21792217,0.125941939,0.078959712,71.19011049,27.68956641,28.05104516,3.806146872,58.11789453,2.19139153,3.7705969,1.614755342,-108.3354018,-27.91983127,-1.890691261,-66.95581382,0,0,1,0,45176.85481,400.0003871,340.2843359,0.850710016,0.177975104,2.1,0.5,0: Broadleaf,2,1656346229,416.0460645,420.0110645,25.5458871,24.70806774,412.3890645,25.2998871,600.015,85.68250968,0.100047865,27.89010968,28.05104516,999.9,0,0,10001.01452,126.6650323,109.3553548,-3.957564516,426.9714839,430.6514516,0.863168548,420.0110645,24.70806774,2.191009355,2.11705,18.89671613,18.34805806,400.0003871,0.642998516,0.357001452,25,6680.761613,1656346259,10:10:59,1656346253,1656346259,9,-0.008,0,3.657,0.246,420,25,0.48,0.15,0,0,0,0,0,0,0,0,0,0,0,3.23609,2.78128,0.0830789,0.0853689,0.107473,0.107367,23337.4,22967.6,24459.6,22361.5,32238.2,25478.2,39968.1,30988.3,2.22845,2.32372,0.0947118,0,26.5012,999.9,68.5,25.6,26.3446,64.175,11.4143,2,-0.184149,-2.39531,20.3637,5.23331,11.9381,4.97915,3.2819,2566.6,9999,9999,122.2,4.9716,1.86136,1.86689,1.85806,1.86257,1.8631,1.86399,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.657,0.246,3.515544322,0.000678439,-9.11E-07,3.42E-10,-0.013209025,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.1,1.37207,2.38525,2.14966,2.72949,2.15088,2.35229,30.48,15.7606,19,619.914,728.774,30.0007,24.8455,30.0004,24.7096,24.6687,27.4832,0,100,30,420,25.2894,101.086,101.616
n1,north,1,8,1656346320,568,y,6/27/2022,20220627 10:12:00,10:12:00,15,1656346312,0.002423236,2.423236383,7.391294973,417.0738387,312.4085463,26.79943743,35.77797206,0.128907376,3.218391632,0.126106186,0.079062972,35.59529159,27.49960129,27.94364516,3.78239037,58.1374073,2.191387641,3.769324679,1.591002729,-106.8647245,-10.29249708,-0.696498512,-82.25842847,0,0,1,0,45186.2829,200.002,170.1436757,0.850709871,0.177974678,2.1,0.5,0: Broadleaf,2,1656346312,417.0738387,420.0144839,25.54561935,24.71916452,413.4968387,25.30261935,600.0085806,85.68327742,0.100026977,27.88432581,27.94364516,999.9,0,0,10002.89677,63.81040968,110.4397742,-2.861332581,428.1015484,430.660129,0.854972161,420.0144839,24.71916452,2.191277419,2.118019355,18.89868065,18.35534839,200.002,0.64300429,0.35699571,25,3340.420968,1656346352,10:12:32,1656346352,1656346337,10,-0.08,-0.004,3.577,0.243,420,25,0.5,0.09,0,0,0,0,0,0,0,0,0,0,0,3.23605,2.78119,0.0832353,0.0853564,0.107462,0.107381,23329.6,22963.5,24456,22357.5,32234.5,25472.9,39962.8,30982.1,2.227,2.32153,0.0910312,0,26.461,999.9,68.4,25.6,26.3066,64.155,11.4984,2,-0.176065,-2.31124,20.3672,5.23271,11.9381,4.9793,3.28198,2568.9,9999,9999,122.3,4.97162,1.86141,1.86688,1.85806,1.86253,1.86311,1.86399,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.577,0.243,3.507592515,0.000678439,-9.11E-07,3.42E-10,-0.013114494,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1.1,1,1.37207,2.38525,2.14966,2.72949,2.15088,2.40845,30.4584,15.7694,19,619.846,727.962,30.001,24.9464,30.0005,24.797,24.7545,27.4864,0,100,30,420,25.2894,101.072,101.597
n1,north,1,9,1656346413,661,y,6/27/2022,20220627 10:13:33,10:13:33,15,1656346405,0.00238867,2.388670083,4.252490778,418.1525161,352.3797254,30.22758521,35.86965964,0.12821524,3.217569536,0.12544301,0.078645963,17.79745272,27.39568167,27.87971935,3.768311711,58.19771025,2.191619378,3.765817191,1.576692334,-105.3403507,-1.968554877,-0.133194094,-89.6446469,0,0,1,0,45173.67544,99.99904516,85.07023677,0.850710491,0.177976227,2.1,0.5,0: Broadleaf,2,1656346405,418.1525161,419.9904839,25.54892258,24.73424516,414.6505161,25.30392258,599.9980323,85.68130323,0.099980529,27.86837097,27.87971935,999.9,0,0,9999.674194,31.81732258,111.9242903,-1.763120323,429.2028065,430.6420645,0.837570903,419.9904839,24.73424516,2.191027419,2.119262903,18.89685484,18.36470645,99.99904516,0.642983645,0.357016355,25,1670.158387,1656346433,10:13:52,1656346433,1656346431,11,-0.075,0.001,3.502,0.245,420,25,0.54,0.1,0,0,0,0,0,0,0,0,0,0,0,3.23581,2.78136,0.083394,0.0853283,0.107424,0.107394,23320.4,22959.4,24451,22353.2,32229.6,25467.6,39954.7,30976,2.22515,2.31912,0.0863522,0,26.461,999.9,68.3,25.6,26.2684,64.065,11.4704,2,-0.166499,-2.2898,20.3678,5.23241,11.9381,4.979,3.28188,2571.3,9999,9999,122.3,4.97161,1.8614,1.86688,1.85806,1.86255,1.86311,1.86395,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.502,0.245,3.427885483,0.000678439,-9.11E-07,3.42E-10,-0.016783477,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1.3,1.37207,2.38525,2.14966,2.72949,2.15088,2.34497,30.5446,15.7431,19,619.754,727.278,29.9997,25.071,30.0006,24.9082,24.8623,27.4885,0,100,30,420,25.2894,101.052,101.577
n1,north,1,10,1656346494,741.5,y,6/27/2022,20220627 10:14:53,10:14:53,15,1656346486,0.002260671,2.260670599,1.8112119,419.0373871,382.5941452,32.81830444,35.94434655,0.121439325,3.218575187,0.118950061,0.074563189,8.898767883,27.36522255,27.85096452,3.761993831,58.15379853,2.188301282,3.762955021,1.573692549,-99.69557341,0.759569042,0.051366327,-89.98587016,0,0,1,0,45193.87187,49.99936774,42.53501932,0.850711144,0.177977608,2.1,0.5,0: Broadleaf,2,1656346486,419.0373871,420.0029032,25.51110645,24.74002903,415.5113871,25.26710645,599.9782258,85.67842903,0.099946977,27.85534194,27.85096452,999.9,0,0,10004.23387,15.65987097,112.8634516,-0.989583645,429.9934194,430.6573871,0.795287516,420.0029032,24.74002903,2.187825806,2.119686774,18.87344194,18.3679,49.99936774,0.642965613,0.357034516,25,835.0685484,1656346516,10:15:15,1656346516,1656346511,12,0.024,-0.001,3.526,0.244,420,25,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,3.2358,2.78123,0.0834921,0.0852889,0.107276,0.107381,23312.9,22955.4,24446.2,22348.7,32229.4,25463.2,39947.3,30969.9,2.22365,2.31647,0.0858195,0,26.4503,999.9,68.2,25.7,26.3856,63.7151,11.5505,2,-0.156382,-2.29831,20.3684,5.23002,11.9381,4.97925,3.28183,2573.6,9999,9999,122.3,4.97167,1.8614,1.86691,1.85806,1.86259,1.8631,1.864,1.85989,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.526,0.244,3.35283273,0.000678439,-9.11E-07,3.42E-10,-0.015337368,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,1,1,1.37207,2.38892,2.14966,2.72827,2.15088,2.38525,30.5015,15.7431,19,619.944,726.433,29.9998,25.1906,30.0007,25.0217,24.9755,27.4873,0,100,30,420,25.2894,101.033,101.557
