ID,Transect,Plot,obs,time,elapsed,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
n1,north,1,1,1654273201,0,y,6/3/2022,20220603 10:20:01,10:20:01,15,1654273193,0.002516073,2.516073343,14.99622018,414.028871,251.3541978,21.29985657,35.08497429,0.159426213,3.188986647,0.155127116,0.097331048,427.1342581,22.62761041,23.01657742,2.822552172,59.78940569,1.483028164,2.480419644,1.339524009,-110.9588344,-364.1341863,-23.42093672,-71.37969935,0,0,1,0,45684.75518,2399.968065,2041.676749,0.850709965,0.177974976,2.2,0.5,0: Broadleaf,2,1654273193,414.028871,419.9094194,17.50083871,16.59442903,409.593871,17.38786129,600.0032903,84.64041613,0.099989074,20.89859032,23.01657742,999.9,0,0,10000.0371,724.2606452,1.241032258,-5.880507419,421.4037742,426.9951613,0.90639929,419.9094194,16.59442903,1.481277419,1.40455871,12.77627097,11.96695484,2399.968065,0.643000226,0.356999742,22,40084.0129,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-5.885651,0.071840375,0.023852506,1,0.903282225,0.062685647,0.006182819,1,2,2,2/2,3.23915,2.78135,0.0822323,0.0849202,0.0821442,0.0808294,23439.6,23107.4,24533.5,22478.2,33244.5,26368,40064.7,31143.8,2.26473,2.37715,0.114933,0,21.1274,999.9,77.8,19.7,21.1724,62.24,13.0889,2,-0.390386,0.331171,20.3591,5.23077,11.9381,4.9798,3.282,1058.9,3533.6,259.4,101.4,4.97163,1.86114,1.86661,1.85771,1.86246,1.86295,1.86385,1.85958,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1132,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,2.2,2.2,1.33179,2.36084,2.14966,2.78198,2.15088,2.34253,25.7578,16.0321,19,611.995,734.674,20.0001,22.0388,30.0003,21.7886,21.7232,26.681,24.7108,13.2731,20,420,16.5711,101.354,102.135
n1,north,1,2,1654273264,63,y,6/3/2022,20220603 10:21:04,10:21:04,15,1654273256,0.002353624,2.353623702,15.13598701,414.0353548,248.6073042,21.06693821,35.08528145,0.157546385,3.18913922,0.15334683,0.096209758,355.9488898,22.26092636,22.58977097,2.75046519,59.82207356,1.482330436,2.477898789,1.268134754,-103.7948053,-293.6119867,-18.8414505,-60.29935268,0,0,1,0,45690.14725,1999.993871,1701.414778,0.850709996,0.17797499,2.2,0.5,0: Broadleaf,2,1654273256,414.0353548,419.9426452,17.49272581,16.64480968,409.6003871,17.37991935,599.9880323,84.63983871,0.099981303,20.88205806,22.58977097,999.9,0,0,10000.75226,596.0842903,1.241620645,-5.907240968,421.4069032,427.0507419,0.847914194,419.9426452,16.64480968,1.48058129,1.408813871,12.76909032,12.01283548,1999.993871,0.643000129,0.356999871,22,33403.70323,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-5.90341,-0.081077674,0.018800766,1,0.84848875,-0.009378169,0.001423188,1,2,2,2/2,3.2392,2.78127,0.0822164,0.0848963,0.0820816,0.0809947,23439.6,23104.8,24533.3,22475.2,33246.9,26360,40064.9,31140,2.2642,2.3754,0.0932813,0,21.0582,999.9,77.6,19.8,21.2487,62.81,13.1651,2,-0.387612,0.328287,20.3643,5.23376,11.9381,4.9797,3.282,1060.8,3541.5,263.7,101.4,4.97162,1.86115,1.86661,1.85775,1.86243,1.86294,1.86383,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1129,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,3.3,3.2,1.33301,2.36084,2.14966,2.78076,2.15088,2.34375,25.8399,16.0146,19,612.54,734.325,20.0001,22.0755,30.0002,21.8651,21.8064,26.7173,24.7108,12.8991,20,420,16.6522,101.354,102.122
n1,north,1,3,1654273346,145,y,6/3/2022,20220603 10:22:26,10:22:26,15,1654273338,0.002165346,2.165345805,15.47955489,413.9478387,244.2957895,20.70152653,35.07777266,0.156264056,3.188027969,0.152130222,0.095443689,266.9622153,21.76107036,22.05784839,2.662882901,60.19915134,1.486270191,2.468922165,1.176612711,-95.49175,-212.2254092,-13.58253485,-54.33747875,0,0,1,0,45678.66263,1499.999032,1276.064169,0.850709995,0.177974925,2.2,0.5,0: Broadleaf,2,1654273338,413.9478387,419.9522903,17.53926452,16.75923548,409.512871,17.42557097,600.0043226,84.63956452,0.100031581,20.82306774,22.05784839,999.9,0,0,9996.072903,445.9389032,1.227070645,-6.004403548,421.3378387,427.1102581,0.780027129,419.9522903,16.75923548,1.484516129,1.418493871,12.8096,12.11679032,1499.999032,0.643001097,0.356998935,22,25052.85806,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-6.00255475,-0.051862627,0.039434819,1,0.777360075,0.045203403,0.005085199,1,2,2,2/2,3.23917,2.78112,0.0821832,0.0848814,0.0822327,0.0813666,23440.1,23104.1,24533.1,22474.2,33241.7,26348.1,40065.2,31138.6,2.2639,2.3738,0.0697002,0,20.9034,999.9,77.2,20,21.4039,63.01,13.2292,2,-0.386491,0.328154,20.3698,5.23361,11.9381,4.9797,3.282,1062.9,3550.8,268.6,101.4,4.97165,1.86114,1.86661,1.85774,1.86245,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1139,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,4.7,4.6,1.33545,2.36938,2.14966,2.78076,2.15088,2.35718,25.9427,16.0058,19,613.205,734.071,20.0004,22.1062,30,21.9381,21.8868,26.76,24.4379,12.1535,20,420,16.7515,101.354,102.117
n1,north,1,4,1654273414,213,y,6/3/2022,20220603 10:23:34,10:23:34,15,1654273406,0.002176968,2.176968125,15.54577325,413.9328065,252.038197,21.35761064,35.07649165,0.164748425,3.18762297,0.160160041,0.10050163,213.570338,21.41189276,21.70555484,2.606229668,60.23550741,1.482196647,2.460669314,1.124033022,-96.00429432,-161.0051059,-10.28436198,-53.72342419,0,0,1,0,45679.59323,1200.002258,1020.853865,0.850709954,0.177974947,2.2,0.5,0: Broadleaf,2,1654273406,413.9328065,419.9634194,17.49119677,16.70692581,409.497871,17.37841935,599.9914516,84.63956452,0.100014239,20.76866774,21.70555484,999.9,0,0,9994.355806,358.5543226,1.218849677,-6.030573548,421.3019677,427.098871,0.784274742,419.9634194,16.70692581,1.480447742,1.414067097,12.76770323,12.06933548,1200.002258,0.643000613,0.356999355,22,20042.29677,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-6.029482,-0.011806379,0.024283089,1,0.7784461,0.082557546,0.013911461,1,2,2,2/2,3.23913,2.78121,0.082169,0.0848797,0.0819818,0.0811401,23441,23102.3,24533.7,22472.5,33251.9,26352.5,40066.3,31136,2.2638,2.3722,0.0552014,0,20.7896,999.9,76.9,20.2,21.5864,62.75,13.2492,2,-0.38515,0.325463,20.3724,5.23361,11.9381,4.9798,3.282,1065.1,3560.2,273.2,101.4,4.97164,1.86112,1.86661,1.85774,1.86243,1.86295,1.86385,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1125,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,5.8,5.7,1.33667,2.36206,2.14966,2.78076,2.15088,2.37061,25.9839,16.0233,19,613.727,733.425,19.9998,22.1281,30.0002,21.9872,21.9415,26.7777,25.0038,11.4097,20,420,16.6711,101.357,102.109
n1,north,1,5,1654273480,279,y,6/3/2022,20220603 10:24:40,10:24:40,15,1654273472,0.002139891,2.139891446,15.27354032,414.0309677,259.2876803,21.9718624,35.08470376,0.169546936,3.1889755,0.164693612,0.103357987,160.1778785,21.06316056,21.35296129,2.550587514,60.21411336,1.475712616,2.450775297,1.074874898,-94.36921279,-111.7029356,-7.116912962,-53.01118287,0,0,1,0,45714.91022,900.0016129,765.640386,0.850710015,0.177975102,2.2,0.5,0: Broadleaf,2,1654273472,414.0309677,419.9560645,17.41473226,16.64377742,409.596,17.30337419,600.0061935,84.63932258,0.100000061,20.70323871,21.35296129,999.9,0,0,10000.11903,271.0415806,1.22233129,-5.925095161,421.369,427.0639677,0.770956742,419.9560645,16.64377742,1.473971613,1.408718387,12.7008,12.01180323,900.0016129,0.642998548,0.357001419,22,15031.74194,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-5.92764325,-0.015144203,0.030613503,1,0.77367005,-0.086446266,0.015122495,1,2,2,2/2,3.23908,2.78141,0.0821719,0.0848625,0.081723,0.0809321,23440.6,23099.8,24533.4,22469.7,33261.9,26355.3,40066.9,31132.2,2.26355,2.37063,0.041455,0,20.6641,999.9,76.7,20.3,21.6629,62.7201,13.3734,2,-0.383374,0.317742,20.3757,5.23391,11.9381,4.9796,3.282,1066.9,3568.4,277,101.5,4.97165,1.86115,1.86661,1.85776,1.86245,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1112,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,6.9,6.8,1.33789,2.37183,2.14966,2.77832,2.15088,2.32788,26.0456,15.997,19,614.04,732.66,19.9994,22.1505,30.0001,22.028,21.9869,26.8008,25.2868,10.6592,20,420,16.6167,101.357,102.097
n1,north,1,6,1654273553,352,y,6/3/2022,20220603 10:25:53,10:25:53,15,1654273545,0.002106467,2.106467481,14.23288089,414.4629032,274.3716297,23.2503725,35.12176859,0.175301394,3.187864399,0.170116706,0.106775992,106.7855498,20.69007892,20.98376774,2.493443209,60.25712302,1.468676468,2.437349137,1.024766741,-92.89521589,-63.53595698,-4.040003295,-53.68562636,0,0,1,0,45708.15161,600.0023226,510.4280304,0.850710091,0.177975227,2.2,0.5,0: Broadleaf,2,1654273545,414.4629032,420.0015484,17.33147097,16.5725129,410.0279032,17.22168065,600.0213548,84.6403871,0.100052442,20.61408065,20.98376774,999.9,0,0,9995.282258,182.4708065,1.234792581,-5.538641613,421.772871,427.0792258,0.758962161,420.0015484,16.5725129,1.466941613,1.402703548,12.62786452,11.94686452,600.0023226,0.642996968,0.357003032,22,10021.15161,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-5.533088,-0.03948,0.030351344,1,0.75361295,0.086626559,0.018714272,1,2,2,2/2,3.23913,2.78124,0.082231,0.0848528,0.0813532,0.0806036,23439.7,23098.4,24534.1,22468.1,33276.6,26363,40068.3,31130,2.26318,2.36892,0.0292659,0,20.4926,999.9,76.4,20.4,21.7112,63.2501,13.3894,2,-0.382276,0.293126,20.3787,5.23256,11.9381,4.9797,3.282,1069.1,3578.1,281.1,101.5,4.97164,1.86117,1.86661,1.85774,1.86246,1.86295,1.86385,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.109,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,8.1,8,1.33911,2.36816,2.14966,2.77832,2.15088,2.35352,26.1074,16.0058,19,614.227,731.707,19.9997,22.1716,30.0001,22.0662,22.0275,26.8187,25.8488,9.54262,20,420,16.5599,101.361,102.089
n1,north,1,7,1654273620,418.4000001,y,6/3/2022,20220603 10:26:59,10:26:59,15,1654273612,0.001906826,1.906825529,12.54733858,415.067,282.7656547,23.96161186,35.17285139,0.163681163,3.190171222,0.159154666,0.099867927,71.19038699,20.47474846,20.7327,2.45522604,60.29714846,1.463432082,2.427033648,0.991793957,-84.09100584,-32.23294012,-2.044741258,-47.17830023,0,0,1,0,45761.77038,400.0029667,340.2864674,0.850709859,0.177974648,2.2,0.5,0: Broadleaf,2,1654273612,415.067,419.958,17.26963667,16.58252667,410.6319667,17.16099333,599.9868667,84.64022,0.099957823,20.54528667,20.7327,999.9,0,0,10005.08333,122.5853333,1.295228,-4.890911333,422.3610667,427.0393,0.687116167,419.958,16.58252667,1.461706333,1.403548667,12.57336333,11.95602333,400.0029667,0.6430047,0.3569953,22,6680.823667,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-4.889446341,-0.07133438,0.018994611,1,0.686925512,0.004135649,0.000958716,1,2,2,2/2,3.23926,2.78158,0.0823297,0.0848457,0.0812746,0.0807081,23436.2,23096.4,24533.2,22466.1,33278.6,26357.2,40067.1,31126.7,2.2633,2.3673,0.0217445,0,20.3667,999.9,76.1,20.5,21.7602,62.5901,13.4495,2,-0.380569,0.291797,20.3806,5.23361,11.9381,4.97965,3.282,1071.2,3588,284.8,101.5,4.97162,1.86115,1.86661,1.85776,1.86248,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1087,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,9.2,9.1,1.33911,2.3645,2.14966,2.7771,2.15088,2.37427,26.1485,16.0058,19,614.715,730.765,20.0002,22.1914,30.0003,22.099,22.0642,26.8372,26.1268,8.79693,20,420,16.4885,101.357,102.079
n1,north,1,8,1654273686,484.4000001,y,6/3/2022,20220603 10:28:05,10:28:05,15,1654273678,0.001835093,1.835092706,8.320706161,416.6445161,325.6330933,27.59485915,35.30736579,0.162071895,3.188951593,0.15763102,0.098908247,35.59497913,20.25026889,20.50645484,2.421227814,60.21738559,1.457261021,2.420000481,0.963966793,-80.92758831,-1.413094155,-0.089550725,-46.83525407,0,0,1,0,45746.46041,200.0000323,170.1420168,0.850709947,0.177974867,2.2,0.5,0: Broadleaf,2,1654273678,416.6445161,419.9758387,17.19640645,16.5351,412.2092258,17.08910645,599.9909032,84.64221613,0.099966771,20.49823548,20.50645484,999.9,0,0,9999.675806,61.71407742,1.926290645,-3.331457097,423.9347742,427.0370645,0.661308774,419.9758387,16.5351,1.455541613,1.399567419,12.50896452,11.91294839,200.0000323,0.643001774,0.356998226,22,3340.383226,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-3.316896585,-0.073892613,0.039312152,1,0.662408415,-0.01967862,0.002213766,1,2,2,2/2,3.23901,2.7813,0.0825455,0.0848347,0.0810284,0.080535,23428.4,23093.3,24530.9,22462.9,33285.4,26358.5,40064.4,31122.2,2.26235,2.3659,0.0139549,0,20.2809,999.9,75.8,20.6,21.8095,63.0101,13.5296,2,-0.376842,0.307843,20.3828,5.23226,11.9381,4.97975,3.282,1073.1,3596.7,287.6,101.5,4.97164,1.86115,1.86661,1.85776,1.86247,1.86295,1.86385,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1074,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,10.3,10.2,1.34033,2.36572,2.14966,2.7771,2.15088,2.36084,26.2104,16.0058,19,614.511,730.14,20,22.2257,30.0004,22.1395,22.1082,26.849,26.3975,7.67507,20,420,16.4938,101.35,102.065
n1,north,1,9,1654273764,562.9000001,y,6/3/2022,20220603 10:29:24,10:29:24,15,1654273756,0.001805377,1.805377495,4.277349856,418.1314333,367.4920953,31.1434503,35.43492684,0.161336162,3.191134249,0.156937847,0.098471338,17.7974589,20.11891576,20.38101,2.402555321,60.06288816,1.449815998,2.413829975,0.952739323,-79.61714753,13.04869312,0.825652993,-47.94534252,0,0,1,0,45793.6051,99.99963,85.07069514,0.850710099,0.177975248,2.2,0.5,0: Broadleaf,2,1654273756,418.1314333,419.9765667,17.1078,16.45716,413.6961333,17.00212667,600.0063333,84.64592,0.09998527,20.45685667,20.38101,999.9,0,0,10008.49333,30.74814667,6.006984,-1.845079,425.4092,427.0037,0.6506454,419.9765667,16.45716,1.448105,1.393030333,12.43096,11.84198667,99.99963,0.6429967,0.3570033,22,1670.180667,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-1.84060225,-0.083086492,0.023941784,1,0.652049025,-0.022972627,0.002633918,1,2,2,2/2,3.23895,2.78128,0.0827712,0.0848307,0.0807077,0.0802449,23420.5,23090.3,24528.9,22460,33294.8,26363.4,40061.4,31118.1,2.26157,2.36365,0.0100359,0,20.2163,999.9,75.5,20.8,21.9894,63.03,13.6018,2,-0.372541,0.317906,20.3838,5.23391,11.9381,4.98,3.282,1075.2,3606.9,290.5,101.5,4.97163,1.86114,1.86663,1.85776,1.86247,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.436,0.1057,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,11.6,11.5,1.34033,2.36938,2.14966,2.77588,2.15088,2.35352,26.2722,15.9883,19,614.61,728.912,20.0003,22.2786,30.0005,22.1948,22.1642,26.8611,26.6721,6.54637,20,420,16.4628,101.342,102.051
n1,north,1,10,1654273825,623.4000001,y,6/3/2022,20220603 10:30:24,10:30:24,15,1654273817,0.001743661,1.743661357,1.583247335,419.1214667,395.104566,33.48408186,35.51945157,0.156323592,3.187995396,0.152186612,0.095479205,8.899033685,20.0884969,20.35109,2.398120401,60.02272454,1.449176462,2.414379676,0.948943938,-76.89546585,18.8124495,1.191365583,-47.99261708,0,0,1,0,45734.65762,50.00125333,42.53658787,0.850710433,0.177976212,2.2,0.5,0: Broadleaf,2,1654273817,419.1214667,419.9699667,17.09995333,16.47153333,414.6861333,16.99444333,599.9902333,84.64741,0.099982813,20.46054667,20.35109,999.9,0,0,9995.008333,15.09537,7.166496667,-0.848444533,426.4132333,427.0033667,0.628437133,419.9699667,16.47153333,1.447467,1.394272333,12.42424667,11.85548,50.00125333,0.642983633,0.3570163,22,835.1084,1654273072,10:17:51,1654273066,1654273072,2,-0.038,0.003,4.436,0.092,420,16,0.28,0.1,-0.839287634,-0.004584753,0.044005689,1,0.630084268,-0.023196627,0.002667016,1,2,2,2/2,3.23897,2.78158,0.0829112,0.084819,0.0806815,0.0802951,23414.6,23086.1,24526.7,22455.9,33293,26357.3,40058.1,31112.6,2.26097,2.36177,0.00824407,0,20.2248,999.9,75.2,20.8,21.9024,63.0601,13.5897,2,-0.366781,0.349246,20.3842,5.23301,11.9381,4.97935,3.28177,1077.1,3615.7,292.7,101.6,4.97168,1.86113,1.86661,1.85776,1.86246,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.435,0.1055,4.286474498,0.000678439,-9.11497E-07,3.42204E-10,0.02689017,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,12.6,12.5,1.34155,2.37549,2.14966,2.7771,2.15088,2.33643,26.3134,15.9708,19,614.877,728.099,20.0007,22.3397,30.0005,22.2533,22.2249,26.8746,26.6721,5.79703,20,420,16.4628,101.333,102.033
