ID,Transect,Plot,obs,time,elapsed,KEEP,Date,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,
n1,north,1,1,1654187302,0,n,6/2/2022,20220602 10:28:22,10:28:22,15,1654187294,-0.001052722,-1.052722405,1.015474533,420.2125161,432.2210194,36.81701441,35.79411821,-0.074679239,3.201193433,-0.075660854,-0.047198771,355.9479663,22.28030847,20.95059032,2.488363303,56.36305843,1.329742577,2.359244892,1.158620726,46.42505806,-149.0886622,-9.413518517,243.8708437,0,0,1,0,46075.86619,1999.98871,1701.410335,0.85070997,0.177974988,2.7,0.5,0: Broadleaf,2,1654187294,420.2125161,420.4704194,15.61079032,16.07712903,415.7715161,15.56279032,599.9886129,85.08106452,0.099925661,20.08672258,20.95059032,999.9,0,0,10005.93839,606.6315484,0.858753516,-0.215425603,426.9306129,427.3409355,-0.441115226,420.4704194,16.07712903,1.33032871,1.367858065,11.14475484,11.56547742,1999.98871,0.643000065,0.356999903,21,33403.60968,1654187343,10:29:02,1654187343,1654187318,1,-0.043,-0.038,4.441,0.048,421,16,0.55,0.15,-0.310918443,2.059223146,0.212446923,0,-0.49049815,1.174162064,0.114620471,0,0,2,0/2,3.2409,2.78146,0.0838426,0.085657,0.0775428,0.0803958,23565.6,23213.3,24703.2,22594.9,33645.1,26508.9,40343.1,31297.3,2.28575,2.38075,0.0842139,0,19.5677,999.9,62.9,23.2,21.0985,63.14,12.7404,2,-0.53826,-0.362582,20.3637,5.23226,11.9321,4.97965,3.282,586.9,544.3,161.5,96.7,4.97161,1.86114,1.86661,1.85775,1.86245,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.441,0.048,4.334490608,0.000678439,-9.11E-07,3.42E-10,0.019623534,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,-1407,-1407.1,1.35498,2.37427,2.14966,2.76733,2.15088,2.40723,26.5199,14.0883,19,612.675,720.607,20.0001,20.5798,30.0072,20.5993,20.5872,27.1572,24.6825,0,20,420,16.4255,102.057,102.649,
n1,north,1,2,1654187651,349.0999999,n,6/2/2022,20220602 10:34:11,10:34:11,15,1654187643,0.002838263,2.838262954,13.44871817,412.6915806,299.212788,25.48340839,35.14819056,0.210232935,3.194058351,0.202836944,0.127415914,355.9488602,21.65481935,21.70186774,2.60564236,59.97939197,1.442218992,2.404524196,1.163423368,-125.1673963,-225.1645349,-14.32601848,-8.709089407,0,0,1,0,45954.23649,1999.994194,1701.415068,0.850710004,0.177974947,3,0.5,0: Broadleaf,2,1654187643,412.6915806,420.0014839,16.93377742,15.5387,408.6255806,16.89052258,600.0098065,85.06810645,0.100072903,20.39427742,21.70186774,999.9,0,0,9990.905484,601.1256129,11.12970645,-7.26846,419.8425484,426.6307419,1.395069677,420.0014839,15.5387,1.440523548,1.321847419,12.35107419,11.04960323,1999.994194,0.643000806,0.356999226,22,33403.7129,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-7.28514561,0.114169547,0.041018686,0,1.397802927,-0.039596655,0.00487964,1,1,2,2-Jan,3.24037,2.7811,0.0826746,0.0855195,0.0809644,0.0775935,23497.3,23116.6,24601.7,22498.6,33383.7,26473.7,40181,31159.4,2.2817,2.37462,0.10493,0,19.976,999.9,63,23.3,21.2636,63.3537,13.9744,2,-0.465671,-0.271035,20.3637,5.23062,11.9321,4.9798,3.282,596.2,586.3,161.5,96.8,4.97159,1.86116,1.86661,1.85776,1.86243,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.066,0.0432,3.959080931,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,0.9,0.8,1.3501,2.37793,2.14966,2.76733,2.15088,2.36816,26.7267,14.0532,19,613.448,719.594,20.0009,20.9582,30.0012,20.899,20.8846,27.0405,28.5243,0,20,420,15.471,101.643,102.203,
n1,north,1,3,1654187825,522.5999999,y,6/2/2022,20220602 10:37:04,10:37:04,15,1654187817,0.002798731,2.798731192,14.99922403,411.8926333,282.3513664,24.04678372,35.07931693,0.203209622,3.196744671,0.196296389,0.123286776,355.9485319,21.81312296,21.87537667,2.633406033,59.67491267,1.448231371,2.426868019,1.185174662,-123.4240456,-229.4222923,-14.60872803,-11.506534,0,0,1,0,45980.85148,1999.991667,1701.412917,0.850710003,0.177975008,3,0.5,0: Broadleaf,2,1654187817,411.8926333,419.9687333,17.00477333,15.62918667,407.8276667,16.96024667,599.9926,85.0662,0.099967333,20.54418,21.87537667,999.9,0,0,10002.49667,600.7233667,11.4249,-8.076182,419.0180333,426.6369,1.375587333,419.9687333,15.62918667,1.446531333,1.329516,12.4144,11.13674333,1999.991667,0.6429999,0.3570001,22,33403.66667,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-8.070250732,-0.061037352,0.026098137,1,1.372178293,0.058934007,0.006244375,1,2,2,2-Feb,3.23995,2.78158,0.0824455,0.0854056,0.0811201,0.0778472,23477.4,23095,24576.8,22476.5,33346.4,26440.4,40142.6,31128.2,2.27383,2.36468,0.111111,0,20.0655,999.9,62.8,23.3,21.1969,63.1837,13.9744,2,-0.421235,-0.126944,20.3636,5.23301,11.9339,4.97965,3.28193,601.2,610.8,161.5,96.9,4.97161,1.86118,1.86661,1.85775,1.86243,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0446,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,2.6,3.7,1.3501,2.37671,2.14966,2.76611,2.15088,2.36206,26.7681,14.0532,19,613.753,717.891,20.0028,21.5161,30.0014,21.3892,21.3682,27.055,27.823,0,20,420,15.6765,101.544,102.102,
n1,north,1,4,1654187886,584.0999999,y,6/2/2022,20220602 10:38:06,10:38:06,15,1654187878,0.002514439,2.514438719,14.71892686,412.1308667,278.7033819,23.73617855,35.09972418,0.192256714,3.194540531,0.186052272,0.116823435,266.9628555,21.42234809,21.49666333,2.573138015,59.62457219,1.44932097,2.430744434,1.123817045,-110.8867475,-159.5828224,-10.15032295,-13.65703743,0,0,1,0,45935.67884,1500.002333,1276.067078,0.850710062,0.17797496,3,0.5,0: Broadleaf,2,1654187878,412.1308667,420.0083333,17.01751,15.78170667,408.0658667,16.97272,600.0103333,85.06640333,0.100049907,20.57006333,21.49666333,999.9,0,0,9993.145667,449.1699667,11.34260667,-7.877391,419.2658333,426.7430333,1.235797667,420.0083333,15.78170667,1.447617667,1.342492333,12.42582333,11.28320333,1500.002333,0.643000833,0.356999267,23,25052.89333,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-7.86412625,-0.083822477,0.0459302,1,1.23649075,-0.018566792,0.002365226,1,2,2,2-Feb,3.23958,2.78133,0.0824297,0.0853614,0.0811153,0.078365,23468.4,23087.5,24567.9,22468.7,33335.2,26416.9,40128.6,31117.9,2.27032,2.3608,0.0892356,0,20.043,999.9,62.8,23.3,21.199,63.1937,13.9223,2,-0.403257,-0.0268273,20.3695,5.23331,11.9358,4.9797,3.282,603.1,619.5,161.5,96.9,4.97162,1.86115,1.86661,1.85776,1.86241,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0448,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,3.6,4.7,1.3501,2.37915,2.14966,2.76489,2.15088,2.37305,26.7681,14.0532,19,613.754,717.496,20.0014,21.7462,30.0015,21.5979,21.5759,27.0593,27.2299,0,20,420,15.7921,101.508,102.067,
n1,north,1,5,1654187957,654.5999999,y,6/2/2022,20220602 10:39:16,10:39:16,15,1654187949,0.002269824,2.269823678,14.41075373,412.3099333,272.8424772,23.23704733,35.11500678,0.178871676,3.197006045,0.173492073,0.108902404,213.5700821,21.22111551,21.31063,2.543977741,59.77746765,1.4558963,2.435526892,1.088081441,-100.0992242,-122.1465261,-7.757071003,-16.43273926,0,0,1,0,45976.68694,1200.001,1020.852875,0.85071002,0.17797492,3,0.5,0: Broadleaf,2,1654187949,412.3099333,419.9830333,17.0947,15.97922,408.2449333,17.0485,600.0166,85.06649333,0.100037803,20.60194667,21.31063,999.9,0,0,10003.56833,360.7698333,11.48354,-7.673099333,419.4808,426.803,1.115473,419.9830333,15.97922,1.454185,1.359295333,12.49475667,11.47101333,1200.001,0.643001267,0.3569988,23,20042.27667,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-7.656890488,-0.081874077,0.051757879,1,1.112304146,0.080298815,0.018801939,1,2,2,2-Feb,3.23911,2.7813,0.0824115,0.0853078,0.0814077,0.0790292,23457.7,23077.7,24557.2,22458.7,33311.1,26386.1,40112.3,31103.8,2.2658,2.3562,0.079222,0,20.0069,999.9,62.8,23.3,21.1989,63.3637,14.0545,2,-0.381687,0.0988371,20.3721,5.23301,11.9372,4.97965,3.282,605.2,629.4,161.5,96.9,4.97165,1.86115,1.86661,1.85776,1.86244,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0467,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,4.8,5.9,1.35132,2.38159,2.14966,2.76855,2.15088,2.36328,26.7888,14.0445,19,613.615,717.164,20.0018,22.0271,30.0016,21.8577,21.833,27.0694,26.6485,0,20,420,15.9538,101.466,102.022,
n1,north,1,6,1654188030,728.0999999,y,6/2/2022,20220602 10:40:30,10:40:30,15,1654188022,0.002201639,2.201639211,13.57655822,412.7586333,281.2684508,23.95390722,35.15211883,0.179140794,3.196769699,0.173744868,0.109061806,160.1776698,20.97260885,21.09922667,2.511192383,59.73229671,1.457166151,2.439494596,1.054026232,-97.09228923,-81.15173606,-5.14915761,-23.2155131,0,0,1,0,45968.08538,900.0009667,765.6398215,0.850709999,0.177974998,3,0.5,0: Broadleaf,2,1654188022,412.7586333,420.0012333,17.11014667,16.02817,408.6934667,17.06368,600.0043,85.06388333,0.099977557,20.62835667,21.09922667,999.9,0,0,10002.875,272.3565667,11.97564,-7.242623,419.9439,426.8428,1.081968,420.0012333,16.02817,1.455455,1.363419333,12.50807,11.51678667,900.0009667,0.643000033,0.356999967,24,15031.72333,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-7.237823,-0.023624465,0.031591015,1,1.0809615,0.018127655,0.001888282,1,2,2,2-Feb,3.23883,2.78126,0.0824149,0.0852421,0.0813294,0.0791292,23444.5,23067.2,24544.7,22447.9,33298.1,26370.9,40092.9,31088.9,2.2613,2.35078,0.0676289,0,19.9767,999.9,62.9,23.3,21.2323,62.9838,14.0425,2,-0.357287,0.220093,20.3751,5.23316,11.9372,4.97975,3.282,607.3,639.3,161.5,96.9,4.97164,1.86116,1.86661,1.85776,1.86247,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0466,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,6,7.1,1.35132,2.38037,2.14966,2.76733,2.15088,2.37915,26.8302,14.0445,19,613.808,716.487,20.0015,22.3391,30.0016,22.1452,22.1189,27.0715,26.6485,0,20,420,16.0002,101.416,101.972,
n1,north,1,7,1654188104,801.5999999,y,6/2/2022,20220602 10:41:43,10:41:43,15,1654188096,0.002091872,2.091872407,12.13652063,413.4934667,293.5048811,24.99727085,35.21647798,0.176186547,3.198132401,0.170966485,0.107310172,106.7852882,20.70673432,20.85959,2.474476434,59.70600435,1.456443965,2.439359292,1.018032469,-92.25157316,-40.02389868,-2.535357033,-28.0255407,0,0,1,0,45993.74012,600.0006,510.426505,0.850709991,0.177975302,3,0.5,0: Broadleaf,2,1654188096,413.4934667,419.9943,17.10080333,16.07274,409.4283333,17.05451333,599.9921333,85.06822,0.09994061,20.62745667,20.85959,999.9,0,0,10008.13233,183.1158333,12.18923,-6.500863667,420.6876,426.8551,1.028069,419.9943,16.07274,1.454735333,1.367279667,12.50053333,11.55952333,600.0006,0.642995467,0.357004367,24,10021.11333,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-6.492476098,-0.095743066,0.021106889,1,1.02507439,0.048201115,0.00523928,1,2,2,2-Feb,3.23866,2.78136,0.0824707,0.0851927,0.0812528,0.0792308,23431.9,23058,24534.1,22438.6,33287.8,26357.2,40076.8,31075.8,2.25738,2.34565,0.0581741,0,19.8967,999.9,62.9,23.3,21.2302,63.2138,14.0585,2,-0.335628,0.303734,20.378,5.23346,11.9381,4.97945,3.282,609.5,649.1,161.5,96.9,4.97162,1.86115,1.86661,1.85775,1.86243,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0464,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,7.2,8.3,1.35132,2.38037,2.15088,2.76611,2.15088,2.38159,26.8717,14.0357,19,614.327,715.911,20.0016,22.6327,30.0015,22.4268,22.395,27.0754,26.3777,0,20,420,16.1274,101.374,101.93,
n1,north,1,8,1654188165,863.0999999,y,6/2/2022,20220602 10:42:45,10:42:45,15,1654188157,0.002034661,2.034661115,10.15790604,414.4888667,312.1867637,26.58763712,35.3002781,0.174857062,3.196584773,0.169711834,0.106519564,71.19025196,20.59845009,20.76608,2.460277338,59.69844085,1.462747971,2.450228097,0.997529367,-89.72855519,-11.45448503,-0.725868748,-30.71865702,0,0,1,0,45953.5253,400.0015667,340.2854052,0.850710181,0.177974933,3,0.5,0: Broadleaf,2,1654188157,414.4888667,419.9892667,17.17529667,16.17548,410.4235333,17.12763,600.0245667,85.06574333,0.100061927,20.69961333,20.76608,999.9,0,0,10001.87367,122.9762,11.6006,-5.500451333,421.7321667,426.8944667,0.9998313,419.9892667,16.17548,1.461029333,1.375978,12.56632,11.65546,400.0015667,0.6430017,0.356998567,24,6680.790333,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-5.49628225,-0.070753283,0.033799371,1,0.99892125,0.021332871,0.002157554,1,2,2,2-Feb,3.23825,2.78115,0.0825684,0.0851364,0.0814493,0.0795473,23419.4,23050.5,24524.6,22430.7,33268.1,26339.3,40061.6,31065.2,2.25363,2.34158,0.0516549,0,19.918,999.9,62.9,23.4,21.3595,63.2538,14.0785,2,-0.316786,0.444208,20.3794,5.23391,11.9381,4.9797,3.282,611,656,161.5,96.9,4.97162,1.86114,1.86661,1.85776,1.86245,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0477,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,8.2,9.4,1.35132,2.38037,2.14966,2.76855,2.15088,2.35962,26.8924,14.0357,19,614.472,715.77,20.0022,22.879,30.0017,22.6681,22.6375,27.0767,26.1048,0,20,420,16.204,101.335,101.895,
n1,north,1,9,1654188228,926.0999999,y,6/2/2022,20220602 10:43:48,10:43:48,15,1654188220,0.001982004,1.982003526,6.26838865,416.4422258,349.9316489,29.80079359,35.46495109,0.173420466,3.195438941,0.16835636,0.105665397,35.59514531,20.47814673,20.67284516,2.446191125,59.63166185,1.466642295,2.459502637,0.97954883,-87.40635549,15.18054192,0.962176618,-35.66849164,0,0,1,0,45922.47626,200.0006452,170.1425661,0.850710086,0.177975152,3,0.5,0: Broadleaf,2,1654188220,416.4422258,419.989129,17.22184194,16.24790323,412.3769032,17.17330323,599.9976452,85.06175161,0.100004077,20.76096452,20.67284516,999.9,0,0,9997.493871,61.86987742,11.6657,-3.546934194,423.7398065,426.9258387,0.973926516,419.989129,16.24790323,1.464919677,1.382076129,12.60685161,11.72239032,200.0006452,0.642998065,0.357001968,25,3340.387097,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-3.5378815,-0.091475797,0.022222824,1,0.972615575,0.029327448,0.002950476,1,2,2,2-Feb,3.23799,2.78111,0.0828097,0.085078,0.0815566,0.0797595,23402.2,23041.4,24514,22421.2,33251.1,26322.3,40045.6,31051.9,2.24977,2.33702,0.0413395,0,19.9983,999.9,63,23.4,21.3961,63.7038,14.1186,2,-0.297185,0.589937,20.38,5.23077,11.9381,4.97885,3.28133,612.8,664.3,161.5,97,4.97167,1.86119,1.86661,1.85776,1.86244,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0486,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,9.3,10.4,1.35132,2.38037,2.14966,2.76855,2.15088,2.38647,26.9131,14.027,19,614.701,715.347,20.002,23.1467,30.0015,22.9241,22.8917,27.082,25.8133,0,20,420,16.3411,101.293,101.851,
n1,north,1,10,1654188291,989.0999999,y,6/2/2022,20220602 10:44:51,10:44:51,15,1654188283,0.001942037,1.942037084,2.979563507,418.1077742,381.9934957,32.5313158,35.60687863,0.170643976,3.1966364,0.165740038,0.104016384,17.79734676,20.49459266,20.69265484,2.449178109,59.56084613,1.474290381,2.475267692,0.974887728,-85.64383543,29.66476756,1.880701892,-36.30101921,0,0,1,0,45928.57438,100.0000226,85.07095882,0.850709396,0.177973427,3,0.5,0: Broadleaf,2,1654188283,418.1077742,420.0035484,17.31160645,16.35739677,414.0420645,17.26141613,599.9993548,85.06194839,0.100014226,20.8647871,20.69265484,999.9,0,0,10002.53839,30.78924516,11.94204839,-1.895780645,425.4733226,426.9879677,0.954207194,420.0035484,16.35739677,1.472559677,1.391392903,12.68617742,11.82415161,100.0000226,0.643021065,0.356978968,25,1670.207742,1654187670,10:34:30,1654187670,1654187603,4,-0.042,-0.008,4.066,0.017,420,15,0.49,0.08,-1.893176,-0.079066717,0.03459597,1,0.954271275,0.000472604,0.001811907,1,2,2,2-Feb,3.23768,2.78119,0.0830082,0.0850251,0.0817971,0.080151,23387.7,23034.5,24505.1,22414,33231,26302.4,40031.7,31041.4,2.24605,2.33297,0.0347793,0,20.1414,999.9,63,23.4,21.395,63.4338,14.0665,2,-0.27858,0.726424,20.3815,5.23346,11.9381,4.9796,3.282,614.6,672.5,161.5,97,4.97162,1.86113,1.86661,1.85776,1.86247,1.86295,1.86386,1.85959,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.065,0.0502,3.91668595,0.000678439,-9.11E-07,3.42E-10,-0.033459947,-0.010294497,0.000932414,-3.20E-06,1,2092,0,27,10.3,11.5,1.35132,2.38403,2.14966,2.76733,2.15088,2.3645,26.9338,14.0182,19,614.94,715.273,20.0025,23.4067,30.0015,23.1746,23.1401,27.0831,25.2523,0,20,420,16.4655,101.258,101.818,
