Date ,Transect,Plot,UserID,Area ,Mass,LMA
6/16/2022,central,2,c2,6.18,0.078,79.23076923
6/16/2022,south,1,s1,4.942,0.056,88.25
6/16/2022,north,1,n1,5.607,0.058,96.67241379
6/16/2022,north,3,n3,6.053,0.083,72.92771084
6/16/2022,north,4,n4,6.783,0.09,75.36666667
6/16/2022,central,4,c4,8.454,0.095,88.98947368
6/16/2022,north,2,n2,6.135,0.067,91.56716418
6/16/2022,central,1,c1,3.58,0.0392,91.32653061
6/16/2022,central,3,c3,6.506,0.075,86.74666667
6/27/2022,north,2,n2,3.17,0.032,99.0625
6/27/2022,south,4,s4,4.54,0.037,122.7027027
6/27/2022,south,1,s1,4.81,0.043,111.8604651
6/27/2022,central,2,c2,7.74,0.078,99.23076923
6/27/2022,north,1,n1,4.51,0.051,88.43137255
6/27/2022,central,4,c4,3.65,0.04,91.25
6/27/2022,central,3,c3,3.88,0.043,90.23255814
6/27/2022,north,3,n3,3.58,0.037,96.75675676
6/27/2022,central,1,c1,8.89,0.093,95.59139785
6/27/2022,north,4,n4,4.28,0.043,99.53488372
6/27/2022,control,22,control ,4.6,0.052,88.46153846
7/13/2022,south,1,s1,3.89,0.0341,114.0762463
7/13/2022,control,3,control 3,6.385,0.0455,140.3296703
7/13/2022,control,2,control 2,3.91,0.0362,108.0110497
7/13/2022,south,2,s2,5.39,0.0373,144.5040214
7/13/2022,south,3,s3,5.16,0.0359,143.7325905
7/13/2022,south,4,s4,3.21,0.0304,105.5921053
7/13/2022,control,22,control ,5.27,0.0491,107.3319756
7/13/2022,control,22,control ,4.73,0.0376,125.7978723
7/13/2022,north,4,n4,5.29,0.0496,106.6532258
7/13/2022,north,3,n3,4.8,0.0564,85.10638298
7/13/2022,north,2,n2,4.37,0.046,95
7/13/2022,north,1,n1,3.89,0.0416,93.50961538
