Time,Hourofday,Plot,Light,C
0,0,Control,6.001,Y
0.0104,0.2496,Control,6.001,Y
0.0208,0.4992,Control,6.001,Y
0.0313,0.7512,Control,6.001,Y
0.0417,1.0008,Control,6.069,Y
0.0521,1.2504,Control,6.001,Y
0.0625,1.5,Control,5.934,Y
0.0729,1.7496,Control,5.934,Y
0.0833,1.9992,Control,5.934,Y
0.0938,2.2512,Control,5.934,Y
0.1042,2.5008,Control,6.001,Y
0.1146,2.7504,Control,5.934,Y
0.125,3,Control,5.934,Y
0.1354,3.2496,Control,5.934,Y
0.1458,3.4992,Control,5.934,Y
0.1563,3.7512,Control,5.934,Y
0.1667,4.0008,Control,5.934,Y
0.1771,4.2504,Control,5.934,Y
0.1875,4.5,Control,6.001,Y
0.1979,4.7496,Control,5.934,Y
0.2083,4.9992,Control,6.001,Y
0.2188,5.2512,Control,6.81,Y
0.2292,5.5008,Control,11.794,Y
0.2396,5.7504,Control,26.002,Y
0.25,6,Control,51.062,Y
0.2604,6.2496,Control,60.222,Y
0.2708,6.4992,Control,200,Y
0.2813,6.7512,Control,340,Y
0.2917,7.0008,Control,350.732,Y
0.3021,7.2504,Control,432.332,Y
0.3125,7.5,Control,446.732,Y
0.3229,7.7496,Control,610,Y
0.3333,7.9992,Control,694,Y
0.3438,8.2512,Control,850,Y
0.3542,8.5008,Control,1128,Y
0.3646,8.7504,Control,1233,Y
0.375,9,Control,1331,Y
0.3854,9.2496,Control,1488,Y
0.3958,9.4992,Control,1529,Y
0.4063,9.7512,Control,1614,Y
0.4167,10.0008,Control,1702,Y
0.4271,10.2504,Control,1750,Y
0.4375,10.5,Control,1822,Y
0.4479,10.7496,Control,1880,Y
0.4583,10.9992,Control,1933,Y
0.4688,11.2512,Control,1952.732,Y
0.4792,11.5008,Control,2005.732,Y
0.4896,11.7504,Control,2047.732,Y
0.5,12,Control,2090.732,Y
0.5104,12.2496,Control,2117.732,Y
0.5208,12.4992,Control,2139.732,Y
0.5313,12.7512,Control,2170.732,Y
0.5417,13.0008,Control,2169.732,Y
0.5521,13.2504,Control,2164.732,Y
0.5625,13.5,Control,2135.732,Y
0.5729,13.7496,Control,2127.732,Y
0.5833,13.9992,Control,2110.732,Y
0.5938,14.2512,Control,2061.732,Y
0.6042,14.5008,Control,2027.732,Y
0.6146,14.7504,Control,1967.732,Y
0.625,15,Control,1902.732,Y
0.6354,15.2496,Control,1854.732,Y
0.6458,15.4992,Control,1753.732,Y
0.6563,15.7512,Control,1690.732,Y
0.6667,16.0008,Control,1567.732,Y
0.6771,16.2504,Control,1491.732,Y
0.6875,16.5,Control,1349.732,Y
0.6979,16.7496,Control,1303.732,Y
0.7083,16.9992,Control,1298.732,Y
0.7188,17.2512,Control,1074.732,Y
0.7292,17.5008,Control,857.732,Y
0.7396,17.7504,Control,887.732,Y
0.75,18,Control,623.344,Y
0.7604,18.2496,Control,534.23,Y
0.7708,18.4992,Control,453,Y
0.7813,18.7512,Control,268.132,Y
0.7917,19.0008,Control,225.732,Y
0.8021,19.2504,Control,221.732,Y
0.8125,19.5,Control,180.732,Y
0.8229,19.7496,Control,113.732,Y
0.8333,19.9992,Control,47.422,Y
0.8438,20.2512,Control,20.792,Y
0.8542,20.5008,Control,10.978,Y
0.8646,20.7504,Control,6.741,Y
0.875,21,Control,6.068,Y
0.8854,21.2496,Control,6.001,Y
0.8958,21.4992,Control,6.001,Y
0.9063,21.7512,Control,6.001,Y
0.9167,22.0008,Control,6.001,Y
0.9271,22.2504,Control,6.001,Y
0.9375,22.5,Control,6.001,Y
0.9479,22.7496,Control,6.001,Y
0.9583,22.9992,Control,6.001,Y
0.9688,23.2512,Control,5.934,Y
0.9792,23.5008,Control,5.934,Y
0.9896,23.7504,Control,5.934,Y
0,0,EDE,0.269,N
0.0104,0.2496,EDE,0.269,N
